# =================================================
# Errors
# =================================================

error                                  Errore
research_armour_v3                     Il programma dei mezzi corazzati è stato migliorato ulteriormente: ora possono contenere fino a 30 Darwiniani. Inoltre, la portata del cannone da battaglia è più che raddoppiata rispetto a quella iniziale.
research_armour_v4                     I mezzi corazzati possono contenere fino a 40 Darwiniani e i cannoni da battaglia hanno raggiunto la loro portata massima. Ho fatto tutto ciò che potevo qui.

research_officer                       Lavorerò per migliorare il programma degli ufficiali. Dovrei essere in grado di integrare alcuni ordini utili per controllare i Darwiniani.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                Ho migliorato il programma degli ufficiali: ora possono impartire, oltre al comando MOVIMENTO, l'ordine SEGUI. Fai clic con il pulsante destro del mouse vicino all'ufficiale per scegliere l'ordine da impartire.
research_officer_v3_xin                Ho migliorato il programma degli ufficiali: ora possono impartire, oltre al comando MOVIMENTO, l'ordine SEGUI.
research_officer_v3_1mb_kbd            Ho migliorato il programma degli ufficiali: ora possono impartire, oltre al comando MOVIMENTO, l'ordine SEGUI. Tieni premuto il pulsante vicino all'ufficiale per scegliere l'ordine da impartire.
research_officer_v4_kbd                Ho dotato gli ufficiali di un nuovo ordine: ASSORBI. Questo permetterà di assorbire i Darwiniani alleati nelle vicinanze per costituire uno scudo protettivo, qualora l'ufficiale si trovasse in una zona pericolosa. Fai con il pulsante destro del mouse vicino a un ufficiale per scegliere l'ordine da impartire.
research_officer_v4_xin                Ho dotato gli ufficiali di un nuovo ordine: ASSORBI. Questo permetterà di assorbire i Darwiniani alleati nelle vicinanze per costituire uno scudo protettivo, qualora l'ufficiale si trovasse in una zona pericolosa.
research_officer_v4_1mb_kbd            Ho dotato gli ufficiali di un nuovo ordine: ASSORBI. Questo permetterà di assorbire i Darwiniani alleati nelle vicinanze per costituire uno scudo protettivo, qualora l'ufficiale si trovasse in una zona pericolosa. Tieni premuto il pulsante destro del mouse vicino a un ufficiale per scegliere l'ordine da impartire.

research_explanation_1                 Continuerò a lavorare sui programmi che stai utilizzando... I plotoni, gli ingegneri, ecc.
research_explanation_2                 La maggior parte di questi programmi è ancora allo stadio beta-test: posso migliorarli con un po' di lavoro.
research_explanation_3_kbd             Per vedere i progressi delle ricerche, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi scorri la schermata verso sinistra spostando il mouse nella parte sinistra dello schermo o premendo [KEYCAMERALEFT].
research_explanation_3_xin             Per vedere i progressi delle ricerche, accedi al Riquadro attività e scorrilo verso sinistra.
research_explanation_3_icons_kbd       Per vedere i progressi delle ricerche, tieni premuto [KEYICONSTASKMANAGERDISPLAY], poi scorri la schermata verso l'alto spostando il mouse nella parte superiore dello schermo o premendo [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       Per vedere i progressi delle ricerche, accedi al Riquadro attività e scorrilo verso l'alto.
research_explanation_4                 Da questo momento in poi, puoi scegliere le mie priorità: proverò a migliorare ciò che tu pensi sia davvero importante.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       E tu chi diavolo sei? Pensavo di aver terminato tutte le connessioni esterne.
tutorial_intro_2                       Bene, se hai intenzione di restare, potresti renderti utile.
tutorial_intro_3                       Benvenuto a Darwinia... o a quel che ne resta.
tutorial_intro_4                       Darwinia è il primo parco di divertimenti digitale mai esistito: tutto ciò che vedi è simulato su un computer.
tutorial_intro_5                       Sfortunatamente, stiamo subendo un'infezione virale che ha distrutto quasi tutto.
tutorial_intro_6                       Questo settore si chiama Miniere Pixel. Poligoni grezzi vengono estratti dalle distanti cave e raffinati, fino a farli diventare primitivi, in questo edificio.
tutorial_intro_7                       Essenzialmente, questo settore produce le materie prime necessarie alla costruzione di Darwinia.
tutorial_intro_8                       Purtroppo, tutto è fuori uso qui, a causa dell'infezione virale. Voglio che tu mi aiuti a risolvere questo problema.
tutorial_intro_9                       Dobbiamo debellare il virus e far rivivere la popolazione dei Darwiniani nativi.
tutorial_intro_10                      Iniziamo dalle basi.

tutorial_1_kbd                         Prima di tutto, occupiamoci della visuale: usa i tasti [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] e [KEYCAMERARIGHT] per spostarla.
tutorial_1_xin                         Prima di tutto, occupiamoci della visuale. Usa la levetta sinistra per guardarti intorno.
tutorial_2_kbd                         Puoi spostare la visuale verso l'alto o verso il basso facendo scorrere il mouse nelle rispettive direzioni o premendo i tasti [KEYCAMERAUP] e [KEYCAMERADOWN].
tutorial_3                             Bene. Ora, per prima cosa, vorrei che tu distruggessi questi Virii rossi.
tutorial_3b                            Poi raccoglieremo le anime dei morti e le riconvertiremo in Darwiniani nuovi.
tutorial_4                             Per distruggere questi Virii, avremo bisogno di creare un'unità offensiva armata, chiamata PLOTONE.
tutorial_4b_kbd                        Per creare qualsiasi cosa a Darwinia, disegnane la figura nel Riquadro attività: tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedervi.
tutorial_4b_xin                        Per creare qualsiasi cosa a Darwinia, disegnane la figura nel Riquadro attività.
tutorial_5                             Mentre il Riquadro attività è aperto, disegna questa figura per creare un PLOTONE. Non essere troppo preciso, disegnalo rapidamente.
tutorial_5_kbd                         Mentre tieni premuto il tasto [KEYGESTURESTASKMANAGERDISPLAY], disegna questa figura per creare un plotone. Non essere troppo preciso, disegnalo rapidamente.
tutorial_5_error                       Ops, questo è il disegno sbagliato. Ritenta.
tutorial_7_kbd                         Perfetto. Ora, per posizionare il PLOTONE nel mondo, fai clic sull'area iniziale messa in evidenza.
tutorial_7_xin                         Perfetto. Ora, per posizionare il PLOTONE nel mondo, seleziona l'area iniziale messa in evidenza.
tutorial_8_kbd                         I plotoni devono essere controllati direttamente. Fai clic con il pulsante sinistro del mouse per spostarli.
tutorial_9_kbd                         Tieni premuto il pulsante destro del mouse per sparare con i laser.
tutorial_10_kbd                        Possono anche lanciare granate: tiene premuto il pulsante destro del mouse per sparare raggi laser e poi premi il pulsante sinistro per lanciare una granata.
tutorial_11                            Sembra che tu ci abbia preso la mano. Conduci il tuo plotone contro i Virii rossi e uccidili!
tutorial_12                            Fantastico! Hai già distrutto metà dei Virii.
tutorial_13                            Hai quasi fatto: sono rimasti pochi Virii.

tutorial_20                            Questa è un'incubatrice: converte le anime delle creature morte in nuovi Darwiniani.
tutorial_20b                           Purtroppo, non funziona a causa dell'infezione virale rossa. Abbiamo bisogno di usarla per creare Darwiniani.
tutorial_20c                           Per far funzionare nuovamente la struttura abbiamo bisogno di un INGEGNERE.
tutorial_21_kbd                        Per convocare un INGEGNERE, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività, poi disegna questa figura.
tutorial_21_xin                        Per convocare un INGEGNERE, accedi al Riquadro attività, poi disegna questa figura.
tutorial_22                            Gli ingegneri possono essere posizionati vicino alle aree iniziali o ai plotoni. Piazza il tuo ingegnere e spostalo vicino all'incubatrice.
tutorial_23                            La prima cosa che l'ingegnere dovrà fare è riprogrammare l'incubatrice e rimuovere l'infezione virale usando la vicina torre di controllo.
tutorial_24                            L'ingegnere ora raccoglierà le anime lasciate dai Virii morti e le porterà nell'incubatrice.
tutorial_24b                           Tutte le creature di Darwinia hanno un'anima. Le anime appartenevano ai Darwiniani prima che il virus le attaccasse.
tutorial_24c                           Usando gli ingegneri e le incubatrici, possiamo gradualmente raccogliere le anime intaccate dal virus e riconvertirle in Darwiniani.
tutorial_25                            I primi Darwiniani sono rinati! Questa è una notizia fantastica.
tutorial_26                            Il pianeta apparteneva a loro prima che il virus lo invadesse. Ora dobbiamo aiutarli a riappropriarsi del loro mondo.

tutorial_28_kbd                        Per creare un altro PLOTONE, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] e disegnane la figura.
tutorial_28_xin                        Accedi al Riquadro attività e disegna questa figura per creare un altro PLOTONE.
tutorial_29                            Ora puoi schierare il tuo PLOTONE più vicino alla prima linea, piazzandolo vicino alla torre di controllo di cui ti sei impadronito.

tutorial_30                            Bene, proseguiamo.
tutorial_31                            Ci sono molte creature diaboliche in questa direzione, incluso un minaccioso centipede.
tutorial_31b                           Voglio che te ne sbarazzi con il tuo plotone e che converta le loro anime in Darwiniani.
tutorial_32                            Ora, prendi il tuo plotone e attacca l'infezione virale che ti ho mostrato.
tutorial_33                            Ottimo lavoro! Sono stupefatto.
tutorial_33b                           Ora usiamo un ingegnere per riprogrammare questa incubatrice e raccogliere le anime circostanti.
tutorial_34_kbd                        Sposta l'ingegnere vicino all'incubatrice, così puoi iniziare a riprogrammarla; premi il pulsante sinistro del mouse per muoverlo.
tutorial_34_xin                        Sposta l'ingegnere vicino all'incubatrice, così puoi iniziare a riprogrammarla.
tutorial_35                            Questo ingegnere raccoglierà le anime e le porterà nell'incubatrice, creando nuovi Darwiniani.
tutorial_35b                           Ti mostro come muovere i Darwiniani esistenti.
tutorial_35c                           I Darwiniani non possono essere controllati direttamente, ma possiamo impartire loro ordini attraverso un ufficiale.
tutorial_351                           Per creare un ufficiale, disegnane la figura.
tutorial_36_kbd                        Fai clic su un Darwiniano esistente per promuoverlo al grado di ufficiale.
tutorial_36_xin                        Seleziona un Darwiniano esistente per promuoverlo al grado di ufficiale.
tutorial_37                            La funzione più utile degli ufficiali è il comando dei Darwiniani.
tutorial_37_kbd                        Puoi far muovere gli ufficiali facendo clic con il pulsante sinistro del mouse; la loro funzione più utile è il comando dei Darwiniani.
tutorial_37b_kbd                       Puoi fare clic col pulsante destro del mouse sul terreno per ordinare ai Darwiniani nelle vicinanze di recarsi in quel punto.
tutorial_38                            L'obiettivo finale, a questo punto, è far funzionare questa raffineria, così potremo produrre primitivi.
tutorial_38b                           La raffineria ha bisogno di Darwiniani per funzionare.
tutorial_38c                           Tuttavia, i Darwiniani non possono difendersi, perciò dovrai prima sgombrare l'area con i plotoni.
tutorial_38d                           Una volta sgombrata la zona, usa gli ufficiali per ordinare ai Darwiniani di recarsi alla raffineria ed essi inizieranno a lavorarci.
tutorial_38e                           Ricorda di usare gli ingegneri per raccogliere le anime dei Virii e dei Darwiniani morti.
tutorial_39_kbd                        Se non sai cosa fare, puoi chiedere aiuto premendo il tasto [KEYSEPULVEDAHELP] e io ti darò una mano. Buona fortuna!

tutorial_40                            Hai già un plotone, ma non puoi controllarlo per ora, perché non è l'unità selezionata.
tutorial_40b_kbd                       Per selezionare il plotone, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e premi TAB, oppure fai clic direttamente sul plotone.

tutorial_41_kbd                        Per convocare un altro INGEGNERE, tieni premuto [KEYGESTURESTASKMANAGERDISPLAY] per accedere al Riquadro attività e disegna questa figura.
tutorial_41_xin                        Per convocare un altro INGEGNERE, accedi al Riquadro attività e disegna questa figura.
tutorial_42                            Ora posiziona l'ingegnere vicino a un plotone o a una torre di controllo.

tutorial_43                            Hai già un ingegnere, ma non è selezionato.
tutorial_43b_kbd                       Per selezionare il tuo ingegnere, tieni premuto [KEYICONSTASKMANAGERDISPLAY] e premi TAB finché non viene selezionato, oppure fai clic direttamente sull'ingegnere.

tutorial_squaddeath                    Sembra che il tuo PLOTONE sia stato distrutto. Non ti preoccupare, possiamo ricrearne uno nuovo.
tutorial_engineerdeath                 Sfortunatamente, il tuo INGEGNERE è stato distrutto. Dobbiamo crearne un altro.

tutorial_skipped_kbd                   Ora puoi cavartela da solo. Ricorda però che puoi premere il tasto [KEYSEPULVEDAHELP] per chiedere aiuto. Buona fortuna!
tutorial_skipped_xin                   Ora puoi cavartela da solo. Buona fortuna!


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                  Raffina 20 primitivi
pixelmines_objective2                  Attiva la porta di passaggio verso il deposito

pixelmines_intro_1                     Questo settore è una gigantesca e complessa miniera, purtroppo occupata da questo maledetto virus.
pixelmines_refinery_1                  La struttura al centro di questo complesso è la raffineria: converte i poligoni in primitivi, che possono essere utilizzati, successivamente, per costruzioni varie.
pixelmines_refinery_1b                 La raffineria controlla anche il sistema che fa muovere i carrelli nel loro percorso.
pixelmines_refinery_2                  Questa raffineria ha bisogno dei Darwiniani per funzionare, altrimenti non serve a niente. Scorta alcuni Darwiniani fin qui per rimetterla in funzione.
pixelmines_mines_1                     Questo complesso dispone di quattro miniere sotterranee: in ognuna vengono estratti poligoni grezzi dalle montagne.
pixelmines_mines_1b                    Generazioni di minatori Darwiniani hanno lavorato in queste cave e il paesaggio comincia a risentirne.
pixelmines_mines_2                     I Darwiniani estrarranno i poligoni dalla cava e li metteranno nei carrelli della miniera, che li trasporteranno verso la raffineria.
pixelmines_mines_3                     Avremo bisogno di almeno 20 primitivi per costruire qualcosa di consistente.

pixelmines_yardport_1                  Una volta che i primitivi sono stati raffinati, devono essere trasportati al deposito dei materiali da costruzione.
pixelmines_yardport_2                  Riattiva questa porta di passaggio, così i primitivi raffinati potranno essere trasportati altrove.

pixelmines_progress_1                  Ottimo lavoro, la raffineria e il sistema di trasporto funzionano, ma i carrelli sono ancora vuoti. Dobbiamo riattivare le miniere per riempirli.
pixelmines_progress_2                  Questo complesso dispone di quattro miniere sotterranee: in ognuna vengono estratti poligoni grezzi dalle montagne.


# =================================================
# Dialog strings
# =================================================

dialog_newlocationfail1                Creazione di un nuovo settore fallita
dialog_newlocationfail2                Non puoi creare un nuovo settore.\nDevi prima creare un MOD nel menu principale\nper poi aggiungere settori.

dialog_savelocationsfail1              Salvataggio fallito
dialog_savelocationsfail2              Non puoi salvare questi dati.\nDevi prima creare un MOD nel menu principale\nper poter modificare e salvare i settori.

dialog_mainmenu                        Menu principale
dialog_leavedarwinia                   Abbandona Darwinia
dialog_visitwebsite                    Visita sito Internet
dialog_close                           Chiudi
dialog_apply                           Applica
dialog_cancel                          Annulla
dialog_create                          Crea
dialog_yes                             Sì
dialog_no                              No
dialog_ok                              OK

dialog_mods                            Mod
dialog_currentmod                      Mod attuale
dialog_loadmod                         Carica mod
dialog_unloadmod                       Scarica mod
dialog_createnewmod                    Crea nuovo mod

dialog_profile                         Profilo
dialog_newprofile                      Crea nuovo profilo
dialog_currentprofilename              Nome profilo attuale
dialog_loadprofile                     Carica profilo
dialog_name                            Nome:

dialog_options                         Opzioni
dialog_high                            Alta
dialog_medium                          Media
dialog_low                             Bassa
dialog_upgrade                         Da migliorare
dialog_full                            Pieno
dialog_partial                         Parziale
dialog_enabled                         Attivi
dialog_disabled                        Disattivati

dialog_otheroptions                    Altre opzioni
dialog_helpsystem                      Sistema d'aiuto
dialog_controlhelpsystem               Guida controller
dialog_bootloaders                     Caricatori avvio
dialog_christmas                       Natale
dialog_language                        Lingua
dialog_difficulty                      Difficoltà
dialog_standard_difficulty             Normale
dialog_hard_difficulty                 Difficile

dialog_inputoptions                    Opzioni comandi
dialog_restoredefaults                 Ripristina predefinite
dialog_mousebuttons                    Pulsanti del mouse

dialog_soundoptions                    Opzioni audio
dialog_unavailable                     non disponibile
dialog_soundlibrary                    Libreria audio
dialog_directsound                     DirectSound
dialog_softwaresound                   Software audio
dialog_mixfrequency                    Frequenza
dialog_11khz                           11 KHz: qualità bassa
dialog_22khz                           22 KHz: qualità media
dialog_44khz                           44 KHz: qualità elevata
dialog_numchannels                     Numero canali
dialog_8channels                       8 canali
dialog_16channels                      16 canali
dialog_32channels                      32 canali
dialog_64channels                      64 canali
dialog_memoryusage                     Utilizzo memoria
dialog_swapstereo                      Scambia stereo
dialog_hw3dsound                       Audio hardware 3D
dialog_realtimeeffects                 Effetti Realtime
dialog_cpuusage                        Utilizzo CPU
dialog_cpuusageunknown                 Utilizzo CPU sconosciuto

dialog_graphicsoptions                 Opzioni grafiche
dialog_landscapedetail                 Dettaglio ambientale
dialog_waterdetail                     Dettaglio acqua
dialog_skydetail                       Dettaglio cielo
dialog_buildingdetail                  Dettaglio strutture
dialog_entitydetail                    Dettaglio entità
dialog_pixeleffect                     Effetti pixel

dialog_screenoptions                   Opzioni di visualizzazione
dialog_refreshrate                     Frequenza 
dialog_windowed                        Finestra
dialog_windowedmode                    (modalità finestra)
dialog_resolution                      Risoluzione
dialog_colourdepth                     Colori
dialog_colourdepth_16                  16 bit
dialog_colourdepth_24                  24 bit
dialog_colourdepth_32                  32 bit
dialog_zbufferdepth                    Profondità Z-buffer

dialog_locationmenu                    Menu settore
dialog_leavelocation                   Abbandona settore
dialog_buyonline                       Acquista online

dialog_resetlocation                   Resetta settore
dialog_reset1                          Resettare
dialog_reset2                          questo settore?
dialog_reset3                          I tuoi progressi sull'isola
dialog_reset4                          andranno persi e dovrai
dialog_reset5                          ricominciare dall'inizio.

dialog_toolsmenu                       Menu strumenti

dialog_multiplefiles                   (file multipli selezionati)

dialog_largemenus                      Menu grandi
dialog_auto                            Automatico
dialog_autocam                         Visuale automatica

dialog_unplugged1                      Controller scollegato
dialog_unplugged2                      Il controller è scollegato. Ricollegalo per continuare.

dialog_skiptutorial_kbd                Premi [KEYSKIPTUTORIAL] per saltare il tutorial
dialog_skiptutorial_xin                Premi Back per saltare il tutorial

dialog_skipprologue                    Salta prologo
dialog_playprologue                    Riproduci prologo

dialog_skip1                           Saltare il prologo e avviare il gioco?
dialog_prologue1                       Interrompere il gioco e avviare il prologo?

dialog_buydarwinia                     Acquista Darwinia
dialog_buynow                          Acquista ora
dialog_buynow1                         Speriamo che Darwinia ti sia piaciuto!
dialog_buynow2                         Per continuare a giocare, acquista il gioco.
dialog_later                           Più tardi


# ================================================
# Location Names
# ================================================

location_garden                        Giardino
location_containment                   Contenimento
location_mine                          Miniera
location_generator                     Generatore
location_yard                          Deposito
location_escort                        Scorta
location_pattern_buffer                Memoria buffer
location_biosphere                     Biosfera
location_receiver                      Ricevitore
location_temple                        Tempio

location_unknown                       Settore sconosciuto


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                Modalità comando
newcontrols_prefs_gestures             con figure
newcontrols_prefs_icons                con Icone

newcontrols_createnewtask              CREA NUOVA ATTIVITÀ

newcontrols_create_squad               Crea nuovo plotone
newcontrols_create_engineer            Crea nuovo ingegnere
newcontrols_create_officer             Crea nuovo ufficiale
newcontrols_create_armour              Crea nuovo mezzo corazzato

newcontrols_delete_squad               Elimina questo plotone
newcontrols_delete_engineer            Elimina questo ingegnere
newcontrols_delete_officer             Elimina questo ufficiale
newcontrols_delete_armour              Elimina questo mezzo corazzato

newcontrols_select_squad               Seleziona questo plotone
newcontrols_select_engineer            Seleziona questo ingegnere
newcontrols_select_officer             Seleziona questo ufficiale
newcontrols_select_armour              Seleziona questo mezzo corazzato

newcontrols_place_squad                Posiziona questo plotone
newcontrols_place_engineer             Posiziona questo ingegnere
newcontrols_place_officer              Posiziona questo ufficiale
newcontrols_place_armour               Posiziona questo mezzo corazzato

newcontrols_select_grenade             Seleziona le granate
newcontrols_select_rocket              Seleziona i razzi
newcontrols_select_airstrike           Seleziona l'attacco aereo
newcontrols_select_controller          Seleziona i controllori

newcontrols_showresearch               Mostra ricerca
newcontrols_showtaskmanager            Mostra Riquadro attività
newcontrols_showobjectives             Mostra obiettivi

newcontrols_research_darwinian         Ricerca il programma dei Darwiniani (equipaggiali con armi migliori)
newcontrols_research_officer           Ricerca il programma degli ufficiali (fornisci una varietà di ordini maggiore)
newcontrols_research_squad             Ricerca il programma dei plotoni (aumenta il numero dei soldati)
newcontrols_research_laser             Ricerca il programma dei laser (accrescine la portata)
newcontrols_research_grenade           Ricerca il programma delle granate (accrescine la portata)
newcontrols_research_rocket            Ricerca il programma dei razzi (accrescine la portata)
newcontrols_research_airstrike         Ricerca il programma dell'attacco aereo (accresci il numero dei bombardieri)
newcontrols_research_armour            Ricerca il programma dei corazzati (accresci la loro capienza e la portata dei cannoni)
newcontrols_research_taskmanager       Ricerca il programma del Riquadro attività (miglioralo per eseguire più programmi alla volta)
newcontrols_research_engineer          Ricerca il programma degli ingegneri (aumenta la loro capacità di trasportare anime)

newcontrols_hidetaskmanager_kbd        Per uscire dal Riquadro attività, premi TAB o fai clic sullo schermo


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                   Attiva la prima pompa di carburante
launchpad_objective2                   Attiva la seconda pompa di carburante
launchpad_objective3                   Attiva la terza pompa di carburante
launchpad_objective0                   Lancia un razzo

launchpad_primary_1                    Ci sono tre pompe di carburante su questa mappa.
launchpad_primary_2                    La loro funzione è estrarre minerali grezzi dai fondali marini e trasformarli in carburante liquido per i razzi.
launchpad_primary_4                    Le pompe di carburante funzionano grazie ai pannelli solari nelle vicinanze.
launchpad_primary_5                    Questi pannelli solari devono essere gestiti dai Darwiniani per funzionare.
launchpad_primary_6                    Elimina l'infezione virale attorno ai pannelli solari, poi scortaci i Darwiniani usando gli ufficiali.
launchpad_primary_7                    Una volta operativi, i pannelli solari faranno funzionare le pompe di carburante che, a loro volta, alimenteranno i razzi.

launchpad_primary_rocket_1             Il nostro obiettivo principale è aiutare i Darwiniani a lanciare i razzi.
launchpad_primary_rocket_2             Per fare ciò, è necessario rifornirli di carburante.
launchpad_primary_rocket_3             Il carburante è generato dalle 3 pompe evidenziate, che lo introducono direttamente nel serbatoio di ciascun razzo.
launchpad_primary_rocket_4             Fai funzionare queste pompe, ordinando ai Darwiniani di operare sui pannelli solari riportati sulla mappa.
launchpad_primary_rocket_5             Una volta rifornito il razzo, saremo in grado di tentare un altro lancio.

launchpad_intro_1                      Salve, visitatore, benvenuto a Darwinia!
launchpad_intro_2                      Sono il dottor Sepulveda, l'inventore di questo mondo digitale.
launchpad_intro_3                      Arrivi proprio al momento giusto. I Darwiniani nativi sono molto occupati.
launchpad_intro_4                      Dalla fine della Grande Guerra, si sono messi in testa di costruire un razzo.
launchpad_intro_5                      I Darwiniani sono forme di vita completamente digitali in esecuzione all'interno di un computer molto potente.
launchpad_intro_6                      Ogni generazione è più ambiziosa di quella precedente e tutti vorrebbero essere i primi a creare un razzo.
launchpad_intro_7                      Sono piccole creature incredibilmente curiose.
launchpad_intro_8                      Non sono sicuro di ciò che i Darwiniani desiderino realmente realizzare.
launchpad_intro_9                      Ma questo progetto è certamente il più ambizioso.
launchpad_intro_9b                     Sono migliorati di generazione in generazione e hanno la loro cultura e le loro credenze.
launchpad_intro_9c                     Questo razzo rappresenta il culmine di tutti i loro sogni e ambizioni e, per arrivare a questo punto, hanno dovuto lavorare a lungo.
launchpad_intro_10                     Oh no, ci stanno attaccando!
launchpad_intro_11                     I Darwiniani rossi ci attaccano!
launchpad_intro_12                     Oh no, stanno cercando di distruggere il razzo!
launchpad_intro_13                     Non ha senso: causeranno un'esplosione che ucciderà tutti i Darwiniani al suo interno!
launchpad_intro_14                     Accidenti.
launchpad_intro_15                     Non posso crederci.

launchpad_middemo_1                    Darwinia non è sempre stata così.
launchpad_middemo_2                    Ricordo come era questo posto, prima che il virus e la Grande Guerra lo distruggessero.
launchpad_middemo_3                    I Darwiniani hanno combattuto duramente e sono progrediti a tal punto che credevo fossimo riusciti a debellare l'infezione.
launchpad_middemo_4                    Ma sembra che, non appena volto le spalle, i combattimenti riprendano da qualche parte e uccidano altri Darwiniani.
launchpad_middemo_5                    Il controllo che i Darwiniani esercitano ora sul loro mondo è sorprendente.
launchpad_middemo_6                    La rampa di lancio è solo uno dei tanti settori di Darwinia, ma è il primo costruito interamente dai Darwiniani
launchpad_middemo_8                    Guarda cos'hanno raggiunto!
launchpad_middemo_9                    Il sistema che stai osservando non sapeva che fare al di fuori dei confini di questo mondo... Non era che uno spazio vuoto.
launchpad_middemo_10                   Ma i Darwiniani sapevano che c'era qualcos'altro. Manipolarono così il loro subsistema al fine di vedere cosa ci fosse al di là del loro mondo.
launchpad_middemo_11                   Questi complessi di stelle costituiscono altre unità centrali e altri server di Internet, tutti connessi in un'unica rete.
launchpad_middemo_12                   Ora capisco perché vogliono esplorare i milioni di sistemi che li circondano.
launchpad_middemo_13                   Il progetto del Grande Razzo sarà la loro conquista più grande e aprirà i loro orizzonti verso tutti i sistemi del mondo.
launchpad_middemo_14                   Se non fosse stato per il virus, avrebbero già raggiunto questo obiettivo.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                   Bene, dobbiamo aiutare i Darwiniani.
launchpad_tutorial_2_kbd               Per prima cosa, occupiamoci della visuale: usa [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] e [KEYCAMERARIGHT] per spostarla.
launchpad_tutorial_2_xin               Per prima cosa, occupiamoci della visuale. Usa la levetta sinistra per guardarti intorno.
launchpad_tutorial_3                   Prova a cambiare l'altezza della visuale premendo il tasto direzionale su o giù.
launchpad_tutorial_3_kbd               Puoi cambiare l' altezza della visuale facendo scorrere la rotellina del mouse o usando [KEYCAMERAUP] e [KEYCAMERADOWN].
launchpad_tutorial_4_kbd               Per sconfiggere la minaccia rossa, creeremo delle unità offensive. Tieni premuto [KEYICONSTASKMANAGERDISPLAY] per aprire il Riquadro attività.
launchpad_tutorial_4_xin               Per sconfiggere la minaccia rossa, creeremo delle unità offensive. Premi X per accedere al Riquadro attività.
launchpad_tutorial_5_kbd               La tua arma principale contro la minaccia rossa è il PLOTONE. Per crearlo, fai clic sulla relativa icona al centro dello schermo mentre è visualizzato il Riquadro attività.
launchpad_tutorial_5_xin               La tua arma principale contro la minaccia rossa è il PLOTONE. Per crearlo, seleziona la relativa icona al centro dello schermo e premi A.
launchpad_tutorial_5_error             Questa è l'icona errata. Ritenta.
launchpad_tutorial_6_kbd               Per posizionare il nuovo PLOTONE nel mondo, fai clic all'interno dell'area iniziale messa in evidenza.
launchpad_tutorial_6_xin               Per posizionare il nuovo PLOTONE nel mondo, sposta il cursore nell'area iniziale messa in evidenza e premi A.
launchpad_tutorial_7_kbd               I plotoni devono essere controllati direttamente. Fai clic con il pulsante sinistro del mouse per spostarli.
launchpad_tutorial_7_xin               I plotoni devono essere controllati direttamente. Per muoverli, usa la levetta sinistra.
launchpad_tutorial_8                   Usa la levetta destra per sparare con i loro laser. Per muoverli, usa la levetta sinistra.
launchpad_tutorial_8_kbd               Tieni premuto il pulsante destro per sparare con i laser.
launchpad_tutorial_9                   Ora prendi il tuo plotone e occupati dei Virii malefici nelle vicinanze. Stai attento a non farli avvicinare troppo!
launchpad_tutorial_9_error             Sembra che il tuo plotone sia stato distrutto. Non ti preoccupare, possiamo ricrearne uno nuovo.
launchpad_tutorial_10                  Questo oggetto blu luminoso costituisce parte delle mie ricerche: contiene un'arma che possiamo utilizzare contro i Virii rossi.
launchpad_tutorial_11_kbd              Per ottenere questi dati di ricerca, dovremo creare un ingegnere. Tieni premuto [KEYICONSTASKMANAGERDISPLAY], quindi fai clic sul pulsante dell'ingegnere.
launchpad_tutorial_11_xin              Per ottenere questi dati di ricerca, dovremo creare un ingegnere. Accedi al Riquadro attività, quindi seleziona il pulsante Ingegnere e premi A.
launchpad_tutorial_12                  Posiziona il tuo nuovo ingegnere vicino al plotone e spostalo vicino all'oggetto di ricerca.
launchpad_tutorial_12b                 Gli ingegneri sono solamente degli strumenti di messa a punto, ma svolgono molteplici funzioni.
launchpad_tutorial_12c                 Qui puoi vedere l'ingegnere che sta raccogliendo i dati di ricerca.
launchpad_tutorial_12d                 Una volta finito, l'ingegnere li invierà al mio computer e potremo utilizzarli.
launchpad_tutorial_12e                 Potresti trovare altri dati di ricerca nelle vicinanze: sarebbe utile se tu li raccogliessi.
launchpad_tutorial_13                  Fantastico, sei riuscito a riappropriarti della granata.
launchpad_tutorial_13b_kbd             Fai clic sul plotone esistente per controllarlo, oppure selezionalo facendo clic sull'icona corrispondente nel Riquadro attività o premendo 1.
