# =================================================
# Errors
# =================================================

error                                  Error
research_taskmanager_v3                He realizado algunas modificaciones en el Administrador de Tareas y ahora puedes ejecutar simultáneamente hasta cuatro programas.
research_taskmanager_v4                He mejorado el Administrador de tareas y ahora puedes ejecutar hasta cinco programas al mismo tiempo, lo que está llevando el sistema al límite. Así que no creo que pueda mejorarlo más.

research_darwinian                     Intentaré mejorar la plantilla del código del darwiniano básico. Con un poco de suerte debería poder darles unas armas adecuadas con las que poder defenderse.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  ¡He mejorado los darwinianos para que puedan utilizar Láseres! Esto debería ayudarles a defenderse del Ataque vírico.
research_darwinian_v4                  Les he dado Granadas a los darwinianos. Da un poco de miedo, pero ahora deberían tener más posibilidades cuando se enfrenten a enemigos más fuertes que ellos. Ya he hecho todo lo que se puede hacer en este campo.

research_engineer                      Trabajaré en mejorar a los Ingenieros. Creo que puedo aumentar el número de espíritus que pueden llevar.
# research_engineer_v1               Unused
research_engineer_v2                   He aumentado a 15 el número de espíritus que tus Ingenieros pueden llevar.
research_engineer_v3                   He aumentado a 25 el número de espíritus que tus Ingenieros pueden llevar.
research_engineer_v4                   He aumentado a 30 la capacidad de carga de espíritus de tus Ingenieros. Ya he terminado el trabajo con este tipo de unidad.

research_armour                        Trabajaré un poco más en el programa Blindado. Creo que puedo mejorar la capacidad de la unidad, y quizás también el alcance del Cañón de Batalla.
# research_armour_v1                 Unused
research_armour_v2                     He mejorado el programa Blindado y ahora puedes albergar a 20 darwinianos en su interior. También he aumentado el alcance del Cañón de Batalla.
research_armour_v3                     El programa Blindado ha sido mejorado de nuevo y ahora puedes albergar a 30 darwinianos en su interior. También he incrementado el alcance del Cañón de Batalla a más del doble de sus características originales.
research_armour_v4                     He incrementado la capacidad del programa Blindado a 40 darwinianos y el Cañón de Batalla ha llegado ahora a su máximo alcance. Ya he hecho todo lo que se puede hacer en este campo.

research_officer                       Me pondré a trabajar en la mejora del programa Oficial. Debería poder proporcionarle algunas Órdenes útiles que podamos usar para influir en los darwinianos.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                He mejorado el programa Oficial para que sea capaz de dar la orden de SEGUIR que se suma a la que ya existe: IR A. Pulsa con el botón derecho cerca de un oficial para pasar de una orden a otra.
research_officer_v3_xin                He mejorado el programa Oficial para que sea capaz de dar la orden de SEGUIR que se suma a la que ya existe: IR A.
research_officer_v3_1mb_kbd            He mejorado el programa Oficial para que sea capaz de dar la orden de SEGUIR que se suma a la que ya existe: IR A. Mantén pulsado el botón cerca de un oficial para pasar de una orden a otra.
research_officer_v4_kbd                Les he dado a los Oficiales una nueva orden llamada ABSORBER. Esta orden absorberá a todos los darwinianos de nuestro bando que se encuentren en las cercanías formando un escudo protector que mantendrá al Oficial seguro en zonas peligrosas. Pulsa con el botón derecho cerca de un oficial para pasar de una orden a otra.
research_officer_v4_xin                Les he dado a los Oficiales una nueva orden llamada ABSORBER. Esta orden absorberá a todos los darwinianos de nuestro bando que se encuentren en las cercanías formando un escudo protector, que mantendrá al Oficial seguro en zonas peligrosas.
research_officer_v4_1mb_kbd            Les he dado a los Oficiales una nueva orden llamada ABSORBER. Esta orden absorberá a todos los darwinianos de nuestro bando que se encuentren en las cercanías formando un escudo protector, que mantendrá al Oficial seguro en zonas peligrosas. Mantén pulsado el botón cerca de un oficial para pasar de una orden a otra.

research_explanation_1                 Voy a seguir trabajando durante un tiempo en los programas que estás utilizando... las Escuadras, los Ingenieros, etc.
research_explanation_2                 La mayoría de ellos se encuentran todavía en etapas muy iniciales de prueba y creo que puedo mejorarlos todos con un poco de trabajo.
research_explanation_3_kbd             Para ver el progreso, mantén pulsado el botón [KEYGESTURESTASKMANAGERDISPLAY] y así acceder al Administrador de Tareas, y después desplázate hacia la izquierda moviendo el ratón hacia esa dirección de la pantalla, o pulsando [KEYCAMERALEFT].
research_explanation_3_xin             Para ver el progreso, abre el Administrador de Tareas y a continuación desplázate hacia la izquierda.
research_explanation_3_icons_kbd       Para ver el progreso, mantén pulsado [KEYICONSTASKMANAGERDISPLAY], y después desplázate hacia arriba situando el ratón en la parte superior de la pantalla, o pulsando [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       Para ver el progreso, abre el Administrador de Tareas y a continuación desplázate hacia la arriba.
research_explanation_4                 Desde allí podrás establecer mis prioridades...y yo trataré de trabajar en la mejora de lo que tú consideras que es más importante.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       ¿Quién demonios eres tú? Creí que había cerrado todas las conexiones externas.
tutorial_intro_2                       Vale. Está bien. Si te vas a quedar podrías echar una mano.
tutorial_intro_3                       Bienvenido a Darwinia... o lo que queda de ella.
tutorial_intro_4                       Darwinia es el primer Parque Temático Digital del mundo, todo lo que ves aquí está simulado en un ordenador.
tutorial_intro_5                       Desgraciadamente, en la actualidad estamos sufriendo el ataque de una Infección Vírica muy grave, que ha destruido casi todo.
tutorial_intro_6                       Este lugar se llama las Minas de Píxeles. En ellas se extraen Polígonos en Bruto de las Canteras que se ven a lo lejos y en este edificio se refinan hasta convertirlos en Primitivas.
tutorial_intro_7                       Básicamente todo este lugar produce las materias primas que necesitamos para poder construir cosas en Darwinia.
tutorial_intro_8                       Desgraciadamente todo está desconectado de la red ahora mismo por culpa de la infección vírica. Quiero que me ayudes a solucionarlo.
tutorial_intro_9                       Vamos a tener que erradicar la Infección Vírica y reconstruir la población de los nativos darwinianos.
tutorial_intro_10                      Pero vamos empezar con los conceptos básicos.

tutorial_1_kbd                         En primer lugar vamos a enfrentarnos con la cámara. Utiliza las teclas [KEYCAMERAFORWARDS],[KEYCAMERALEFT],[KEYCAMERABACKWARDS],[KEYCAMERARIGHT] para mover la cámara de un lugar a otro.
tutorial_1_xin                         En primer lugar vamos a enfrentarnos con la cámara. Utiliza el stick analógico izquierdo para mover la cámara de un lugar a otro.
tutorial_2_kbd                         Para modificar la altura de la cámara desplaza el botón central de tu ratón arriba y abajo. También puedes pulsar [KEYCAMERAUP] y [KEYCAMERADOWN].
tutorial_3                             Muy bien. Lo primero que quiero que hagas es destruir a esos diabólicos Virus Rojos.
tutorial_3b                            Entonces recogeremos las Almas de sus cuerpos muertos y las convertiremos en unos nuevos y alegres darwinianos.
tutorial_4                             Para poder destruir a esos Virus, tenemos que crear una unidad ofensiva armada llamada ESCUADRA.
tutorial_4b_kbd                        Para crear cosas en Darwinia se trazan gestos en el Administrador de Tareas. Mantén pulsada la tecla [KEYGESTURESTASKMANAGERDISPLAY] para que éste aparezca.
tutorial_4b_xin                        Para crear cosas en Darwinia se trazan gestos en el Administrador de Tareas.
tutorial_5                             Con el Administrador de Tareas abierto, traza este gesto para crear una ESCUADRA. No hace falta que seas muy exacto, simplemente dibújalo rápido.
tutorial_5_kbd                         Mientras mantienes pulsado [KEYGESTURESTASKMANAGERDISPLAY], traza este gesto para crear una ESCUADRA. No hace falta que seas muy exacto, simplemente dibújalo rápido.
tutorial_5_error                       Vaya, ese no es el gesto correcto. Inténtalo de nuevo.
tutorial_7_kbd                         Magnífico. Para poder situar una ESCUADRA en el mundo, pulsa en la zona de inicio que aparece destacada.
tutorial_7_xin                         Magnífico. Para poder situar la ESCUADRA dentro del mundo, selecciona la zona de inicio que aparece destacada.
tutorial_8_kbd                         Es necesario controlar las escuadras de forma directa. Pulsa con el Botón Izquierdo del ratón para moverlas por el terreno.
tutorial_9_kbd                         Mantén pulsado el Botón Derecho del ratón para disparar sus láseres.
tutorial_10_kbd                        También puede lanzar granadas. Mantén pulsado el Botón Derecho del Ratón para disparar láseres, y a continuación pulsa el Botón Izquierdo del ratón para lanzar una granada.
tutorial_11                            Parece que le has cogido el tranquillo. ¡Conduce a tu escuadra hasta esos malvados Virus Rojos y mátalos!
tutorial_12                            Fantástico, ya has destruido a la mitad de ellos.
tutorial_13                            Ya casi has acabado. Sólo quedan unos pocos Virus más.

tutorial_20                            Este edificio es una Incubadora. Su función es la de convertir las Almas de las criaturas muertas en nuevos darwinianos.
tutorial_20b                           Desgraciadamente ahora mismo está desconectada de la red por culpa de la Infección vírica roja. Tenemos que utilizarla para comenzar a crear darwinianos.
tutorial_20c                           Para conectar el edificio a la red tendremos que utilizar un INGENIERO.
tutorial_21_kbd                        Para convocar a un INGENIERO, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas y traza este gesto.
tutorial_21_xin                        Para convocar a un INGENIERO, abre el Administrador de Tareas y traza este gesto.
tutorial_22                            Los ingenieros pueden situarse en puntos de inicio, o cerca de las Escuadras. Sitúa a tu Ingeniero y muévelo hasta un punto cercano a la Incubadora.
tutorial_23                            Lo primero que el Ingeniero hará será reprogramar la Incubadora y eliminar la Infección vírica, utilizando la Torre de Control cercana.
tutorial_24                            El Ingeniero recogerá las Almas que los Virus muertos han dejado atrás y las llevará hasta la Incubadora.
tutorial_24b                           Todas las criaturas de Darwinia tienen un Alma. Las Almas pertenecieron previamente a darwinianos, antes de que fueran corrompidos por los Virus.
tutorial_24c                           Utilizando Ingenieros e Incubadoras, podemos recoger las malvadas Almas de los Virus y convertirlas de nuevo en nativos darwinianos.
tutorial_25                            ¡Los primeros darwinianos han vuelto a nacer! ¡Qué grandes noticias!
tutorial_26                            Estos seres eran dueños del planeta antes de que los Virus lo invadieran. Y es a esta gente a la que vamos a ayudar a reconquistar su mundo.

tutorial_28_kbd                        Mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] y traza este gesto para crear otra ESCUADRA.
tutorial_28_xin                        Abre el Administrador de Tareas y traza este gesto para crear otra ESCUADRA.
tutorial_29                            Ahora puedes comenzar con tu ESCUADRA más cerca de la acción, situándola en las cercanías de la Torre de Control que has capturado.

tutorial_30                            Bien, siguiente tarea.
tutorial_31                            Hay más criaturas diabólicas en esta dirección, incluyendo un Ciempiés bastante desagradable.
tutorial_31b                           Quiero que las elimines utilizando Escuadras, y que después recojas sus espíritus para convertirlos en darwinianos.
tutorial_32                            Ahora conduce a tu Escuadra para atacar la Infección vírica que te acabo de mostrar.
tutorial_33                            Un trabajo magnífico. Estoy muy impresionado.
tutorial_33b                           Ahora tenemos que utilizar a un ingeniero para reprogramar esta Incubadora, y recoger las Almas cercanas.
tutorial_34_kbd                        Conduce al ingeniero hasta un punto cercano a la nueva Incubadora para que pueda comenzar a Reprogramarla. Pulsa con el Botón Izquierdo para mover a un Ingeniero.
tutorial_34_xin                        Conduce al ingeniero hasta un punto cercano a la nueva Incubadora para que pueda comenzar a Reprogramarla.
tutorial_35                            Ese Ingeniero recogerá ahora las Almas de los alrededores y las colocará en la Incubadora, creando más darwinianos.
tutorial_35b                           Déjame mostrarte cómo conducir a los darwinianos existentes.
tutorial_35c                           Los darwinianos no se pueden controlar directamente, pero podemos darles órdenes utilizando a un Oficial.
tutorial_351                           Para crear a un Oficial, traza este gesto.
tutorial_36_kbd                        Haz clic en un darwiniano de los existentes para ascenderlo a Oficial.
tutorial_36_xin                        Selecciona a uno de los darwinianos existentes para ascenderlo a Oficial.
tutorial_37                            La función más útil de los Oficiales es la de poder dar órdenes a los darwinianos de los alrededores.
tutorial_37_kbd                        Los oficiales puede moverse pulsando con el Botón Izquierdo, pero su función más útil es la de dar órdenes a los darwinianos de los alrededores.
tutorial_37b_kbd                       Puedes pulsar con el botón derecho en algún lugar del suelo para ordenar a todos los darwinianos de los alrededores que se desplacen hasta ese punto.
tutorial_38                            El objetivo final es conseguir conectar a la red esta Refinería para que podamos comenzar a producir Primitivas.
tutorial_38b                           La Refinería necesita que haya darwinianos en su base para poder funcionar.
tutorial_38c                           Sin embargo los darwinianos no pueden defenderse actualmente, así que primero tendrás que despejar el área utilizando Escuadras.
tutorial_38d                           Una vez que lo hayas hecho, utiliza a los Oficiales para ordenar a los darwinianos que vayan a la Refinería y comenzarán a hacerla funcionar.
tutorial_38e                           No olvides utilizar Ingenieros para recoger las Almas de los Virus y darwinianos muertos.
tutorial_39_kbd                        Si te atascas en algún momento, puedes pulsar [KEYSEPULVEDAHELP] e intentaré ayudarte. ¡Buena suerte!

tutorial_40                            Ya tienes una Escuadra ejecutándose, pero no la controlas en este momento porque no es la unidad seleccionada.
tutorial_40b_kbd                       Para seleccionar a tu Escuadra, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y utiliza la tecla TAB hasta que haya sido marcada. También puedes pulsar directamente en ella.

tutorial_41_kbd                        Para convocar a otro INGENIERO, mantén pulsado [KEYGESTURESTASKMANAGERDISPLAY] para acceder al Administrador de Tareas y traza este gesto.
tutorial_41_xin                        Para convocar a otro INGENIERO, abre el Administrador de Tareas y traza este gesto.
tutorial_42                            Ahora sitúa al Ingeniero cerca de una Escuadra o una Torre de Control.

tutorial_43                            Ya tienes un Ingeniero ejecutándose, pero no está seleccionado en este momento.
tutorial_43b_kbd                       Para seleccionar a tu Ingeniero, mantén pulsado [KEYICONSTASKMANAGERDISPLAY] y utiliza la tecla TAB hasta que haya sido marcado. También puedes pulsar directamente en el Ingeniero.

tutorial_squaddeath                    Parece que tu ESCUADRA ha sido destruida. No te preocupes, podemos crear otra.
tutorial_engineerdeath                 Desgraciadamente tu INGENIERO ha sido destruido. Tendremos que crear otro.

tutorial_skipped_kbd                   Bien, te voy a dejar que sigas con esto. Recuerda que puedes pulsar la tecla [KEYSEPULVEDAHELP] en cualquier momento para pedir ayuda. ¡Buena suerte!
tutorial_skipped_xin                   Bien, te voy a dejar que sigas con esto. ¡Buena suerte!


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                  Refinar 20 Primitivas
pixelmines_objective2                  Habilitar el Puerto Troncal del Taller

pixelmines_intro_1                     Todo este lugar es una instalación minera gigantesca, pero desgraciadamente ha sido invadida por este maldito Virus.
pixelmines_refinery_1                  Este edificio situado en el centro de las instalaciones es la Refinería. Convierte los Polígonos que se han extraído en Primitivas que pueden utilizarse más adelante para construir cosas.
pixelmines_refinery_1b                 También impulsa el sistema motor que mueve las carretillas por la vía.
pixelmines_refinery_2                  Esta Refinería requiere que haya darwinianos en los controles o de lo contrario resultará inútil. Tendrás que escoltar a algunos darwinianos de forma que lleguen hasta aquí sanos y salvos para que las instalaciones comiencen a moverse.
pixelmines_mines_1                     Hay cuatro minas subterráneas construidas en el lado del terreno, extrayendo cada una de ellas Polígonos en bruto de la ladera de la montaña.
pixelmines_mines_1b                    Generaciones de mineros darwinianos han trabajado estas canteras y se empiezan a notar los efectos en la ladera.
pixelmines_mines_2                     Los darwinianos extraerán los Polígonos desde lo más profundo de la cantera y los depositarán en las carretillas de la mina que van pasando de camino a la Refinería.
pixelmines_mines_3                     Tendremos que extraer al menos 20 Primitivas para poder construir algo importante.

pixelmines_yardport_1                  Una vez que los Primitivas han sido refinadas, es necesario transportarlas hasta el Taller de Construcción en donde pueden utilizarse para construir cosas.
pixelmines_yardport_2                  Conecta este Puerto Troncal a la red para que los Primitivas refinadas puedan ser transportadas.

pixelmines_progress_1                  Un gran trabajo, la Refinería está conectada a la red y el sistema motor funciona. Pero las carretillas de la mina están todavía vacías. Tenemos que conectar las propias Minas a la red para llenar las carretillas.
pixelmines_progress_2                  Hay cuatro minas subterráneas construidas en el lado del terreno. Cada una extrae Polígonos en bruto de la ladera de la montaña.


# =================================================
# Dialog strings
# =================================================

dialog_newlocationfail1                Error al crear un Nuevo Lugar
dialog_newlocationfail2                No puedes crear un nuevo lugar.\nPrimero tienes que crear un MOD en el menú principal\nantes de poder añadir lugares.

dialog_savelocationsfail1              Error al Guardar
dialog_savelocationsfail2              No puedes guardar los datos del lugar.\nPrimero tienes que crear un MOD en el menú principal\nantes de poder editar y guardar lugares.

dialog_mainmenu                        Menú Principal
dialog_leavedarwinia                   Abandonar Darwinia
dialog_visitwebsite                    Visitar Sitio Web
dialog_close                           Cerrar
dialog_apply                           Aplicar
dialog_cancel                          Cancelar
dialog_create                          Crear
dialog_yes                             Sí
dialog_no                              No
dialog_ok                              Aceptar

dialog_mods                            Mods
dialog_currentmod                      Mod Actual
dialog_loadmod                         Cargar Mod
dialog_unloadmod                       Descargar Mod
dialog_createnewmod                    Crear Nuevo Mod

dialog_profile                         Perfil
dialog_newprofile                      Crear Nuevo Perfil
dialog_currentprofilename              Nombre del Perfil Actual
dialog_loadprofile                     Cargar Perfil
dialog_name                            Nombre:

dialog_options                         Opciones
dialog_high                            Alto
dialog_medium                          Medio
dialog_low                             Bajo
dialog_upgrade                         Necesito mejoras
dialog_full                            Completo
dialog_partial                         Parcial
dialog_enabled                         Habilitado
dialog_disabled                        Deshabilitado

dialog_otheroptions                    Otras Opciones
dialog_helpsystem                      Sistema de Ayuda
dialog_controlhelpsystem               Ayuda del Mando de Control
dialog_bootloaders                     Cargadores de Arranque
dialog_christmas                       Navidad
dialog_language                        Idioma
dialog_difficulty                      Dificultad
dialog_standard_difficulty             Normal
dialog_hard_difficulty                 Difícil

dialog_inputoptions                    Opciones de Control
dialog_restoredefaults                 Restaurar Valores por Defecto
dialog_mousebuttons                    Botones del Ratón

dialog_soundoptions                    Opciones de Sonido
dialog_unavailable                     no disponible
dialog_soundlibrary                    Biblioteca de Sonidos
dialog_directsound                     DirectSound
dialog_softwaresound                   Sonido por Software
dialog_mixfrequency                    Frecuencia de Mezcla
dialog_11khz                           11 Khz Calidad Baja
dialog_22khz                           22 Khz Calidad Media
dialog_44khz                           44 Khz Calidad Alta
dialog_numchannels                     Nº Canales
dialog_8channels                       8 Canales
dialog_16channels                      16 Canales
dialog_32channels                      32 Canales
dialog_64channels                      64 Canales
dialog_memoryusage                     Uso de Memoria
dialog_swapstereo                      Intercambiar en Estéreo
dialog_hw3dsound                       Sonido en Hardware3d
dialog_realtimeeffects                 Efectos en Tiempo Real
dialog_cpuusage                        Uso de CPU
dialog_cpuusageunknown                 Uso de CPU desconocido

dialog_graphicsoptions                 Opciones Gráficas
dialog_landscapedetail                 Detalles del Terreno
dialog_waterdetail                     Detalles del Agua
dialog_skydetail                       Detalles del Cielo
dialog_buildingdetail                  Detalles de Edificios
dialog_entitydetail                    Detalles de Entidades
dialog_pixeleffect                     Efecto de Píxeles

dialog_screenoptions                   Opciones de Pantalla
dialog_refreshrate                     Frecuencia
dialog_windowed                        Modo Ventana
dialog_windowedmode                    (modo ventana)
dialog_resolution                      Resolución
dialog_colourdepth                     Profundidad de Color
dialog_colourdepth_16                  16 bits
dialog_colourdepth_24                  24 bits
dialog_colourdepth_32                  32 bits
dialog_zbufferdepth                    Profundidad del Z Buffer

dialog_locationmenu                    Menú de Lugares
dialog_leavelocation                   Abandonar Lugar
dialog_buyonline                       Comprar en Línea

dialog_resetlocation                   Reiniciar Lugar
dialog_reset1                          ¿Estás seguro de que deseas
dialog_reset2                          reiniciar este lugar?
dialog_reset3                          Se perderá tu progreso
dialog_reset4                          en esta isla y tendrás
dialog_reset5                          que comenzar de cero.

dialog_toolsmenu                       Menú de Herramientas

dialog_multiplefiles                   (múltiples archivos seleccionados)

dialog_largemenus                      Menús Grandes
dialog_auto                            Automático
dialog_autocam                         Cámara Automática

dialog_unplugged1                      Controlador Desconectado
dialog_unplugged2                      Tu mando de control se ha desconectado. Por favor, conéctalo de nuevo para continuar.

dialog_skiptutorial_kbd                Pulsa [KEYSKIPTUTORIAL] para saltar el tutorial
dialog_skiptutorial_xin                Pulsa Back para saltar el tutorial

dialog_skipprologue                    Saltar Prólogo
dialog_playprologue                    Jugar al Prólogo

dialog_skip1                           ¿Estás seguro de que deseas saltar el Prólogo y comenzar con el juego principal?
dialog_prologue1                       ¿Estás seguro de que deseas detener el juego y pasar al nivel de Prólogo?

dialog_buydarwinia                     Comprar Darwinia
dialog_buynow                          Comprar Ahora
dialog_buynow1                         ¡Esperamos que hayas disfrutado jugando a Darwinia!
dialog_buynow2                         Para continuar jugando, por favor, compra el juego.
dialog_later                           Más Tarde


# ================================================
# Location Names
# ================================================

location_garden                        JARDÍN
location_containment                   CONTENCIÓN
location_mine                          MINA
location_generator                     GENERADOR
location_yard                          TALLER
location_escort                        ESCOLTA
location_pattern_buffer                BÚFER DE PATRONES
location_biosphere                     BIOSFERA
location_receiver                      RECEPTOR
location_temple                        TEMPLO

location_unknown                       lugar desconocido


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                Modo de Control
newcontrols_prefs_gestures             Basado en gestos
newcontrols_prefs_icons                Basado en iconos

newcontrols_createnewtask              CREAR NUEVA TAREA

newcontrols_create_squad               Crear nueva Escuadra
newcontrols_create_engineer            Crear nuevo Ingeniero
newcontrols_create_officer             Crear nuevo Oficial
newcontrols_create_armour              Crear nuevo Blindado

newcontrols_delete_squad               Borrar esta Escuadra
newcontrols_delete_engineer            Borrar este Ingeniero
newcontrols_delete_officer             Borrar este Oficial
newcontrols_delete_armour              Borrar este Blindado

newcontrols_select_squad               Seleccionar esta Escuadra
newcontrols_select_engineer            Seleccionar este Ingeniero
newcontrols_select_officer             Seleccionar este Oficial
newcontrols_select_armour              Seleccionar este Blindado

newcontrols_place_squad                Desplegar esta Escuadra
newcontrols_place_engineer             Desplegar este Ingeniero
newcontrols_place_officer              Desplegar este Oficial
newcontrols_place_armour               Desplegar este Blindado

newcontrols_select_grenade             Seleccionar Granada
newcontrols_select_rocket              Seleccionar Misil
newcontrols_select_airstrike           Seleccionar Ataque Aéreo
newcontrols_select_controller          Seleccionar Controlador

newcontrols_showresearch               Mostrar pantalla de investigación
newcontrols_showtaskmanager            Mostrar pantalla del administrador de tareas
newcontrols_showobjectives             Mostrar pantalla de objetivos

newcontrols_research_darwinian         Investigar el programa Darwiniano (proporciona un mejor armamento)
newcontrols_research_officer           Investigar el programa Oficial (proporciona más tipos de órdenes)
newcontrols_research_squad             Investigar el programa Escuadra (aumenta el número de soldados)
newcontrols_research_laser             Investigar el programa Láser (aumenta el alcance)
newcontrols_research_grenade           Investigar el programa Granada (aumenta el alcance)
newcontrols_research_rocket            Investigar el programa Misil (aumenta el alcance)
newcontrols_research_airstrike         Investigar el programa Ataques Aéreo (aumenta el número de bombarderos)
newcontrols_research_armour            Investigar el programa Blindado (aumenta la capacidad de carga, y el alcance del Cañón)
newcontrols_research_taskmanager       Investigar el programa Administrador de tareas (te permite ejecutar más programas a la vez)
newcontrols_research_engineer          Investigar el programa Ingeniero (aumenta la capacidad de carga de espíritus)

newcontrols_hidetaskmanager_kbd        Para abandonar el Administrador de tareas pulsa TAB o haz clic en la pantalla


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                   Habilitar la bomba primaria de combustible
launchpad_objective2                   Habilitar la bomba secundaria de combustible
launchpad_objective3                   Habilitar la bomba terciaria de combustible
launchpad_objective0                   Lanzar el Cohete

launchpad_primary_1                    En este mapa existen tres Bombas de Combustible.
launchpad_primary_2                    Su función es la de extraer minerales en bruto del lecho marino, y procesarlos para convertirlos en combustible líquido que pueda utilizar el Cohete en sus motores.
launchpad_primary_4                    Los Paneles Solares cercanos suministran energía a las Bombas de Combustible.
launchpad_primary_5                    Estos Paneles solares necesitan que haya darwinianos en la base para poder funcionar.
launchpad_primary_6                    Extermina la Infección vírica que hay alrededor de los Paneles solares y después escolta hasta allí a algunos darwinianos utilizando Oficiales.
launchpad_primary_7                    Una vez que estén operativos, los Paneles solares suministrarán energía a la Bomba de Combustible, que a su vez impulsará combustible líquido al interior del Cohete.

launchpad_primary_rocket_1             Nuestro objetivo principal es el de ayudar a los darwinianos a lanzar su Cohete.
launchpad_primary_rocket_2             Para hacerlo, primero tendremos que llenarlo de combustible.
launchpad_primary_rocket_3             El combustible se genera en las 3 Bombas que aparecen señaladas, y que lo impulsan directamente al interior de los depósitos del Cohete.
launchpad_primary_rocket_4             Conecta esas Bombas de Combustible a la red ocupando con darwinianos los paneles solares del mapa.
launchpad_primary_rocket_5             Una vez que el Cohete se haya llenado completamente de combustible, podremos intentar otro lanzamiento.

launchpad_intro_1                      ¡Saludos visitante, y bienvenido a Darwinia!
launchpad_intro_2                      Mi nombre es Dr. Sepulveda y soy el creador de este mundo digital.
launchpad_intro_3                      Has llegado en un gran momento. Los nativos darwinianos han estado ocupados.
launchpad_intro_4                      Desde el final de la Gran Guerra han asumido el reto de construir un cohete.
launchpad_intro_5                      Los darwinianos son una forma de vida completamente digital, que se ejecuta en el interior de un superordenador de gran tamaño.
launchpad_intro_6                      Cada generación es más ambiciosa que la anterior. Todos quieren ser los primeros en su nuevo cohete.
launchpad_intro_7                      ¡Son unos seres con una curiosidad increíble!
launchpad_intro_8                      No estoy seguro de cuál es el objetivo final que los darwinianos pretenden lograr con esto.
launchpad_intro_9                      Pero está claro que es su proyecto más ambicioso hasta la fecha.
launchpad_intro_9b                     Han estado creciendo y mejorando durante miles de generaciones, y tienen sus propias creencias y cultura.
launchpad_intro_9c                     Este cohete es la culminación de todos sus sueños y ambiciones, y les ha llevado un tiempo increíblemente largo llegar tan lejos.
launchpad_intro_10                     ¡Dios mío, nos están atacando!
launchpad_intro_11                     ¡Los Darwinianos Rojos están atacando!
launchpad_intro_12                     ¡Dios mío, están tratando de destruir el Cohete!
launchpad_intro_13                     ¡Esto es una locura, provocarán una explosión que aniquilará a todos los darwinianos que haya dentro!
launchpad_intro_14                     Dios mío.
launchpad_intro_15                     No me puedo creer que esté pasando esto.

launchpad_middemo_1                    Darwinia no siempre ha sido así.
launchpad_middemo_2                    Todavía puedo recordar un tiempo antes de que llegaran los Virus, antes de la gran guerra que casi acabó con este mundo.
launchpad_middemo_3                    Los darwinianos lucharon tanto, y consiguieron tantas cosas, y creí que habíamos librado al sistema de la infección.
launchpad_middemo_4                    Pero parece que cada vez que me doy la vuelta, hay otro brote en algún lugar y mueren más darwinianos.
launchpad_middemo_5                    El control que los Darwininanos tienen sobre su mundo es sorprendente.
launchpad_middemo_6                    La Plataforma de lanzamiento es uno de los muchos lugares de Darwinia, pero es el primero que los darwinianos han construido íntegramente por ellos mismos.
launchpad_middemo_8                    ¡Mira todo lo que han conseguido!
launchpad_middemo_9                    La renderización que estás observando no sabía qué hacer fuera de los confines del mundo... solía ser tan sólo un espacio en blanco.
launchpad_middemo_10                   Pero los darwinianos sabían que había algo más. Manipularon el subsistema de renderización hasta poder ver más allá de su propio mundo.
launchpad_middemo_11                   Esos sistemas estelares son otros ordenadores centrales y servidores de Internet, todos ellos conectados en una gigantesca red global.
launchpad_middemo_12                   Ahora me doy cuenta de que su intención es la de explorar los millones de sistemas informáticos que pueden ver a su alrededor.
launchpad_middemo_13                   El proyecto del Gran Cohete será su mayor logro, y abrirá sus horizontes a todos los sistemas informáticos del mundo.
launchpad_middemo_14                   Y si no hubiera sido por este Virus, ya estarían ahí fuera.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                   Bueno, pues vamos a tener que ayudar a los darwinianos.
launchpad_tutorial_2_kbd               En primer lugar vamos a enfrentarnos a la cámara. Utiliza las teclas [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] y [KEYCAMERARIGHT] para mover la cámara de un lugar a otro.
launchpad_tutorial_2_xin               En primer lugar vamos a enfrentarnos con la cámara. Utiliza el stick analógico izquierdo para mover la cámara.
launchpad_tutorial_3                   Para cambiar la altura de la cámara, presiona hacia arriba o hacia abajo en el mando de dirección.
launchpad_tutorial_3_kbd               Para modificar la altura de la cámara desplaza el botón central de tu ratón arriba y abajo. También puedes pulsar [KEYCAMERAUP] y [KEYCAMERADOWN].
