# =================================================
# Errors
# =================================================

error                                  Erreur
research_darwinian                     Je vais essayer d'améliorer le programme de base des Darwiniens. J'espère pouvoir leur fournir des moyens de se défendre seuls.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  J'ai amélioré les Darwiniens et ils peuvent maintenant se servir de lasers. Ceci devrait leur permettre de se défendre contre les attaques du virus.
research_darwinian_v4                  Les Darwiniens peuvent à présent lancer des grenades. C'est une perspective qui fait un peu peur, mais ils devraient maintenant avoir une chance contre des ennemis plus puissants.

research_engineer                      Je vais travailler à l'amélioration des ingénieurs. Je pense pouvoir augmenter le nombre d'esprits qu'ils pourront transporter.
# research_engineer_v1               Unused
research_engineer_v2                   Les ingénieurs peuvent à présent transporter 15 esprits.
research_engineer_v3                   Les ingénieurs peuvent à présent transporter 25 esprits.
research_engineer_v4                   J'ai augmenté la capacité des ingénieurs et ils peuvent maintenant transporter 30 esprits. J'en ai à présent terminé avec les ingénieurs.

research_armour                        Je vais travailler au programme de blindé. Je pense pouvoir améliorer sa capacité, et peut-être même la portée du canon de bataille.
# research_armour_v1                 Unused
research_armour_v2                     J'ai amélioré le programme de blindé. 20 Darwiniens peuvent maintenant y prendre place. J'ai également augmenté la portée du canon de bataille.
research_armour_v3                     J'ai à nouveau amélioré le programme de blindé. 30 Darwiniens peuvent y prendre place. Et la portée du canon de bataille est maintenant plus de deux fois supérieure à celle originelle.
research_armour_v4                     40 Darwiniens peuvent maintenant prendre place dans un blindé. Et la portée du canon de bataille est à présent à son maximum. Je ne vais plus pouvoir progresser dans ce domaine.

research_officer                       Je vais travailler à l'amélioration du programme Officier. Je devrais pouvoir lui attribuer des ordres utiles pour influer sur les Darwiniens.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                J'ai amélioré le programme Officier et il peut à présent, en plus de l'ordre GOTO déjà existant, donner l'ordre FOLLOW. Cliquez avec le bouton droit de la souris près d'un officier pour faire défiler ses ordres.
research_officer_v3_xin                J'ai amélioré le programme Officier et il peut à présent, en plus de l'ordre GOTO déjà existant, donner l'ordre FOLLOW.
research_officer_v3_1mb_kbd            J'ai amélioré le programme Officier et il peut à présent, en plus de l'ordre GOTO déjà existant, donner l'ordre FOLLOW. Cliquez et maintenez le bouton enfoncé près d'un officier pour faire défiler ses ordres.
research_officer_v4_kbd                J'ai fourni à l'officier un nouvel ordre, appelé ABSORB. Ceci absorbera tous les Darwiniens alliés environnants pour former un champ protecteur, et permettra à l'officier de rester en sécurité dans des zones dangereuses. Cliquez avec le bouton droit de la souris près d'un officier pour faire défiler ses ordres.
research_officer_v4_xin                J'ai fourni à l'officier un nouvel ordre, appelé ABSORB. Ceci absorbera tous les Darwiniens alliés environnants pour former un champ protecteur, et permettra à l'officier de rester en sécurité dans des zones dangereuses.
research_officer_v4_1mb_kbd            J'ai fourni à l'officier un nouvel ordre, appelé ABSORB. Ceci absorbera tous les Darwiniens alliés environnants pour former un champ protecteur, et permettra à l'officier de rester en sécurité dans des zones dangereuses. Cliquez et maintenez le bouton enfoncé près d'un officier pour faire défiler ses ordres.

research_explanation_1                 Je vais continuer à travailler pendant un moment sur les programmes que vous utilisez… les escouades, les ingénieurs, etc.
research_explanation_2                 La plupart de ces programmes n'en sont qu'au stade de bêta-test et je pense pouvoir tous les améliorer beaucoup. Mais cela va demander du travail.
research_explanation_3_kbd             Pour voir l'avancée de mes recherches, maintenez enfoncé [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes, puis faites défiler l'écran en plaçant la souris à gauche ou en appuyant sur [KEYCAMERALEFT].
research_explanation_3_xin             Pour voir l'avancée de mes recherches, ouvrez le gestionnaire de programmes, puis faites défiler l'écran vers la gauche.
research_explanation_3_icons_kbd       Pour voir l'avancée de mes recherches, maintenez enfoncé [KEYICONSTASKMANAGERDISPLAY] puis faites défiler l'écran vers le haut avec la souris ou la touche [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       Pour voir l'avancée de mes recherches, ouvrez le gestionnaire de programmes, puis faites défiler l'écran vers le haut.
research_explanation_4                 Vous pouvez à partir d'ici définir les priorités que vous souhaitez me voir suivre… et j'essaierai d'améliorer ce que vous considérez être le plus important.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       Bon sang, mais qui êtes-vous ? Je croyais m'être occupé de toutes les connexions externes.
tutorial_intro_2                       OK, d'accord, si vous restez, autant vous rendre utile.
tutorial_intro_3                       Bienvenue sur Darwinia… ou ce qu'il en reste.
tutorial_intro_4                       Darwinia est le premier parc à thème numérique au monde. Tout ce que vous voyez ici est simulé sur un ordinateur.
tutorial_intro_5                       Nous sommes malheureusement attaqués par un important virus qui a détruit à peu près tout.
tutorial_intro_6                       Ce secteur s'appelle les Mines Pixels. Des polygones bruts sont extraits des carrières au loin et sont raffinés en primitifs dans cet édifice.
tutorial_intro_7                       De fait, ce secteur produit les matières premières nécessaires à la construction des composants de Darwinia.
tutorial_intro_8                       Tout est malheureusement déconnecté à présent, de par le virus. Je veux que vous m'aidiez à résoudre ce problème.
tutorial_intro_9                       Nous allons devoir vaincre le virus, et reconstruire la population de Darwiniens.
tutorial_intro_10                      Mais commençons par le commencement.

tutorial_1_kbd                         Habituez-vous tout d'abord à la caméra. Servez-vous des touches [KEYCAMERAFORWARDS],[KEYCAMERALEFT],[KEYCAMERABACKWARDS],[KEYCAMERARIGHT] pour la déplacer.
tutorial_1_xin                         Habituez-vous tout d'abord à la caméra. Servez-vous du stick analogique gauche pour la déplacer.
tutorial_2_kbd                         Pour faire varier sa hauteur, servez-vous de la molette de la souris, ou appuyez sur les touches [KEYCAMERAUP] et [KEYCAMERADOWN].
tutorial_3                             Très bien. La première chose que je veux à présent est que vous détruisiez ces Virii rouges.
tutorial_3b                            Nous collecterons ensuite les esprits que leurs corps vont laisser et les convertirons en Darwiniens tout nouveaux.
tutorial_4                             Afin de détruire ces Virii, nous allons devoir créer une unité d'attaque appelée ESCOUADE.
tutorial_4b_kbd                        Vous dessinez des figures dans le gestionnaire de programmes pour créer des choses sur Darwinia. Maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes.
tutorial_4b_xin                        Vous dessinez des figures dans le gestionnaire de programmes pour créer des choses sur Darwinia.
tutorial_5                             Une fois le gestionnaire de programmes ouvert, effectuez cette figure pour créer une ESCOUADE. Il n'est pas nécessaire d'être très précis, mais il faut simplement dessiner rapidement.
tutorial_5_kbd                         Tout en maintenant enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY], dessinez cette figure pour créer une escouade. Il n'est pas nécessaire d'être très précis, mais il faut simplement dessiner rapidement.
tutorial_5_error                       Oups, ce n'est pas la bonne figure. Réessayez.
tutorial_7_kbd                         Parfait. Maintenant, cliquez dans la zone de départ mise en évidence pour placer l'ESCOUADE.
tutorial_7_xin                         Parfait. Maintenant, sélectionnez la zone de départ mise en évidence pour placer l'ESCOUADE.
tutorial_8_kbd                         Les escouades doivent être contrôlées directement. Cliquez avec le bouton gauche pour les faire progresser.
tutorial_9_kbd                         Maintenez enfoncé le bouton droit de la souris pour qu'elle utilise ses lasers.
tutorial_10_kbd                        Ils peuvent également lancer des grenades. Maintenez le bouton droit de la souris enfoncé pour activer les lasers et appuyez sur le bouton gauche pour ce faire.
tutorial_11                            Vous vous en sortez très bien. Amenez votre escouade près de ces Virii et tuez-les !
tutorial_12                            Fantastique, vous en avez déjà détruit la moitié.
tutorial_13                            Vous avez presque terminé. Il ne reste que quelques Virii.

tutorial_20                            Cette construction est un incubateur. Il sert à convertir les esprits des créatures mortes en tout nouveaux Darwiniens.
tutorial_20b                           Il ne fonctionne malheureusement pas pour l'heure, à cause du virus. Mais nous en avons besoin pour commencer à reconstruire des Darwiniens.
tutorial_20c                           Nous allons avoir besoin d'un INGÉNIEUR pour faire fonctionner cet édifice.
tutorial_21_kbd                        Pour requérir un INGÉNIEUR, maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes et dessinez cette figure.
tutorial_21_xin                        Pour requérir un INGÉNIEUR, ouvrez le gestionnaire de programmes et dessinez cette figure.
tutorial_22                            Vous pouvez placer des ingénieurs près des zones de départ, ou près de vos escouades. Placez votre ingénieur et déplacez-le près de l'incubateur.
tutorial_23                            L'ingénieur va tout d'abord reprogrammer l'incubateur et effacer le virus, à l'aide de la tour de commande adjacente.
tutorial_24                            Il va à présent collecter les esprits laissés par les Virii tués et les apporter à l'incubateur.
tutorial_24b                           Toutes les créatures de Darwinia ont un esprit. Ces esprits appartenaient aux Darwiniens avant que le virus ne les corrompe.
tutorial_24c                           Les ingénieurs et les incubateurs nous permettent de rassembler les esprits corrompus et de les reconvertir en Darwiniens.
tutorial_25                            Le premier Darwinien est à nouveau né. C'est une merveilleuse nouvelle.
tutorial_26                            Cette planète leur appartenait avant que le virus n'envahisse tout. Et nous allons les aider à reconquérir le monde.

tutorial_28_kbd                        Maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] et dessinez cette figure pour créer une autre ESCOUADE.
tutorial_28_xin                        Ouvrez le gestionnaire de programmes et dessinez cette figure pour créer une autre escouade.
tutorial_29                            Vous pouvez maintenant placer votre ESCOUADE dans une zone plus avancée. Placez-la près de la tour de commande que vous avez capturée.

tutorial_30                            Très bien, poursuivons.
tutorial_31                            Il y a d'autres créatures dans cette direction, ainsi qu'un centipède plutôt patibulaire.
tutorial_31b                           Je veux que vous vous en débarrassiez avec vos escouades, puis que vous convertissiez leurs esprits en Darwiniens.
tutorial_32                            Sélectionnez à présent votre escouade et attaquez l'infection virale que je viens de vous montrer.
tutorial_33                            Très bon travail. Je suis très impressionné.
tutorial_33b                           Un ingénieur doit à présent reprogrammer cet incubateur, et rassembler les esprits environnants.
tutorial_34_kbd                        Déplacez à présent l'ingénieur près du nouvel incubateur pour qu'il le reprogramme. Cliquez simplement avec le bouton gauche pour déplacer un ingénieur.
tutorial_34_xin                        Déplacez à présent l'ingénieur près du nouvel incubateur pour qu'il le reprogramme.
tutorial_35                            Cet ingénieur va maintenant rassembler les esprits environnants et les placer dans l'incubateur, créant ainsi davantage de Darwiniens.
tutorial_35b                           Je vais à présent vous expliquer comment déplacer les Darwiniens existants.
tutorial_35c                           Les Darwiniens ne peuvent pas être directement contrôlés, mais nous pouvons leur donner des ordres avec un officier.
tutorial_351                           Pour créer un officier, dessinez cette figure.
tutorial_36_kbd                        Cliquez sur un Darwinien existant pour le nommer officier.
tutorial_36_xin                        Sélectionnez un Darwinien existant pour le nommer officier.
tutorial_37                            La fonction la plus importante des officiers est de donner des ordres aux Darwiniens proches.
tutorial_37_kbd                        Vous pouvez déplacer des officiers en cliquant avec le bouton gauche. Mais leur fonction la plus importante consiste à donner des ordres aux Darwiniens les entourant.
tutorial_37b_kbd                       Vous pouvez désigner un point avec le bouton droit de la souris sur les terres pour ordonner aux Darwiniens environnants de s'y rendre.
tutorial_38                            L'objectif consiste à refaire fonctionner cette raffinerie afin de commencer à produire des primitifs.
tutorial_38b                           Des Darwiniens sont nécessaires au fonctionnement de la raffinerie.
tutorial_38c                           Mais ils ne peuvent pas se défendre seuls. Aussi vous allez d'abord devoir nettoyer ce secteur avec des escouades.
tutorial_38d                           Une fois que cette zone est nettoyée, servez-vous d'officiers pour ordonner aux Darwiniens de se rendre à la base de la raffinerie et ils la feront fonctionner.
tutorial_38e                           N'oubliez pas d'ordonner à des ingénieurs de collecter les esprits des Virii et des Darwiniens morts.
tutorial_39_kbd                        Si vous ne savez plus quoi faire, vous pouvez appuyer sur [KEYSEPULVEDAHELP] et j'essaierai de vous aider. Bonne chance.

tutorial_40                            Vous faites déjà fonctionner une escouade, mais vous ne la contrôlez pas car ce n'est pas l'unité sélectionnée.
tutorial_40b_kbd                       Pour sélectionner votre escouade, maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY] et appuyez sur TAB jusqu'à ce que l'escouade soit sélectionnée. Ou vous pouvez directement cliquer sur l'escouade.

tutorial_41_kbd                        Pour requérir un autre INGÉNIEUR, maintenez enfoncée la touche [KEYGESTURESTASKMANAGERDISPLAY] pour accéder au gestionnaire de programmes et dessinez cette figure.
tutorial_41_xin                        Pour requérir un autre INGÉNIEUR, ouvrez le gestionnaire de programmes et dessinez cette figure.
tutorial_42                            Placez à présent l'ingénieur près d'une escouade ou d'une tour de commande.

tutorial_43                            Vous faites déjà fonctionner un ingénieur, mais il n'est pas sélectionné.
tutorial_43b_kbd                       Pour sélectionner votre ingénieur, maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY] et appuyez sur TAB jusqu'à ce que l'ingénieur soit sélectionné. Ou vous pouvez directement cliquer sur l'ingénieur.

tutorial_squaddeath                    Il semble que votre escouade ait été détruite. Ce n'est pas vraiment un problème, vous pouvez simplement en créer une autre.
tutorial_engineerdeath                 Il semble que votre ingénieur ait été détruit. Nous allons devoir en créer un autre.

tutorial_skipped_kbd                   OK, je vais vous laisser vous débrouiller. Souvenez-vous simplement que vous pouvez appuyer sur [KEYSEPULVEDAHELP] à tout moment pour obtenir de l'aide. Bonne chance.
tutorial_skipped_xin                   OK, je vais vous laisser vous débrouiller. Bonne chance.


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                  Raffiner 20 primitifs
pixelmines_objective2                  Activer le point de passage vers le dépôt

pixelmines_intro_1                     Ce secteur est un complexe minier, malheureusement occupé par ce maudit virus.
pixelmines_refinery_1                  L'édifice au centre de ce complexe est la raffinerie. Elle raffine les polygones bruts extraits en primitifs qui servent plus tard aux constructions sur Darwinia.
pixelmines_refinery_1b                 Elle contrôle également le système qui déplace les chariots sur les rails.
pixelmines_refinery_2                  La raffinerie a besoin de Darwiniens pour fonctionner, elle ne sert sinon à rien. Vous allez devoir escorter des Darwiniens jusqu'ici pour qu'ils la remettent en marche.
pixelmines_mines_1                     Ce complexe dispose de quatre mines souterraines. Chacune extrait des montagnes des polygones bruts.
pixelmines_mines_1b                    Des générations de mineurs darwiniens ont travaillé dans ces exploitations et le paysage commence à souffrir de ces extractions constantes.
pixelmines_mines_2                     Les Darwiniens mineront des polygones loin à l'intérieur de la montagne et les placeront dans les chariots se dirigeant vers la raffinerie.
pixelmines_mines_3                     Nous allons avoir besoin d'au moins 20 primitifs pour pouvoir construire quelque chose d'une taille conséquente.

pixelmines_yardport_1                  Une fois les primitifs raffinés, ils doivent être envoyés au dépôt de construction.
pixelmines_yardport_2                  Réactivez ce point de passage afin d'envoyer les primitifs.

pixelmines_progress_1                  Très bon travail, la raffinerie est opérationnelle et le système de transport fonctionne. Mais les chariots sont toujours vides. Nous devons reconquérir les mines pour les remplir.
pixelmines_progress_2                  Ce complexe dispose de quatre mines souterraines. Chacune extrait des montagnes des polygones bruts.


# =================================================
# Dialog strings
# =================================================

dialog_newlocationfail1                Échec de création de nouveau secteur
dialog_newlocationfail2                Vous ne pouvez pas créer de nouveau secteur.\nVous devez créer un MOD à partir du menu principal\navant d'ajouter des secteurs.

dialog_savelocationsfail1              Échec de la sauvegarde
dialog_savelocationsfail2              Vous ne pouvez pas sauvegarder ces données.\nVous devez créer un MOD à partir du menu principal\navant d'éditer et de sauvegarder des secteurs.

dialog_mainmenu                        Menu principal
dialog_leavedarwinia                   Quitter Darwinia
dialog_visitwebsite                    Visiter le site Internet
dialog_close                           Fermer
dialog_apply                           Appliquer
dialog_cancel                          Annuler
dialog_create                          Créer
dialog_yes                             Oui
dialog_no                              Non
dialog_ok                              OK

dialog_mods                            Mods
dialog_currentmod                      Mod actuel
dialog_loadmod                         Charger mod
dialog_unloadmod                       Décharger mod
dialog_createnewmod                    Créer nouveau mod

dialog_profile                         Profil
dialog_newprofile                      Créer nouveau profil
dialog_currentprofilename              Nom du profil actuel
dialog_loadprofile                     Charger profil
dialog_name                            Nom :

dialog_options                         Options
dialog_high                            Élevé
dialog_medium                          Moyen
dialog_low                             Bas
dialog_upgrade                         Je dois améliorer
dialog_full                            Complète
dialog_partial                         Partielle
dialog_enabled                         Activé
dialog_disabled                        Désactivé

dialog_otheroptions                    Autres options
dialog_helpsystem                      Système d'aide
dialog_controlhelpsystem               Instructions manette
dialog_bootloaders                     Gest. démarrage
dialog_christmas                       Noël
dialog_language                        Langue
dialog_difficulty                      Difficulté
dialog_standard_difficulty             Normale
dialog_hard_difficulty                 Difficile

dialog_inputoptions                    Options de contrôle
dialog_restoredefaults                 Par défaut
dialog_mousebuttons                    Boutons de la souris

dialog_soundoptions                    Options sonores
dialog_unavailable                     Non disponibles
dialog_soundlibrary                    Bibliothèque
dialog_directsound                     DirectSound
dialog_softwaresound                   Software Sound
dialog_mixfrequency                    Fréquence
dialog_11khz                           11 KHz - basse qualité
dialog_22khz                           22 KHz - qualité moyenne
dialog_44khz                           44 KHz - haute qualité
dialog_numchannels                     Nombre de canaux
dialog_8channels                       8 canaux
dialog_16channels                      16 canaux
dialog_32channels                      32 canaux
dialog_64channels                      64 canaux
dialog_memoryusage                     Ut. mémoire
dialog_swapstereo                      Swap stéréo
dialog_hw3dsound                       Sons Hardware 3D
dialog_realtimeeffects                 Eff. temps réel
dialog_cpuusage                        Utilisation ORDI
dialog_cpuusageunknown                 Utilisation ORDI inconnue

dialog_graphicsoptions                 Options graphiques
dialog_landscapedetail                 Terres
dialog_waterdetail                     Eau
dialog_skydetail                       Ciel
dialog_buildingdetail                  Constructions
dialog_entitydetail                    Entités
dialog_pixeleffect                     Effet de pixel

dialog_screenoptions                   Options d'affichage
dialog_refreshrate                     Taux
dialog_windowed                        Fenêtré
dialog_windowedmode                    (mode fenêtré)
dialog_resolution                      Résolution
dialog_colourdepth                     Couleurs
dialog_colourdepth_16                  16 bits
dialog_colourdepth_24                  24 bits
dialog_colourdepth_32                  32 bits
dialog_zbufferdepth                    Z Buffer

dialog_locationmenu                    Menu de secteur
dialog_leavelocation                   Quitter secteur
dialog_buyonline                       Acheter en ligne

dialog_resetlocation                   Réinitialiser secteur
dialog_reset1                          Voulez-vous vraiment
dialog_reset2                          réinitialiser ce secteur ?
dialog_reset3                          Vos progrès sur cette île
dialog_reset4                          seront perdus et vous devrez
dialog_reset5                          recommencer depuis le début.

dialog_toolsmenu                       Menu Outils

dialog_multiplefiles                   (multiples fichiers sélectionnés)

dialog_largemenus                      Menus larges
dialog_auto                            Automatique
dialog_autocam                         Caméra automatique

dialog_unplugged1                      Manette débranchée
dialog_unplugged2                      Votre manette a été débranchée. Veuillez la rebrancher pour continuer.

dialog_skiptutorial_kbd                Appuyez sur [KEYSKIPTUTORIAL] pour éluder le didacticiel
dialog_skiptutorial_xin                Appuyez sur Back pour éluder le didacticiel

dialog_skipprologue                    Passer prologue
dialog_playprologue                    Jouer prologue

dialog_skip1                           Voulez-vous vraiment passer le prologue et commencer la partie principale ?
dialog_prologue1                       Voulez-vous vraiment arrêter votre partie et jouer le prologue ?

dialog_buydarwinia                     Acheter Darwinia
dialog_buynow                          Acheter
dialog_buynow1                         Nous espérons que vous avez aimé jouer à Darwinia.
dialog_buynow2                         Pour continuer, veuillez acheter le jeu.
dialog_later                           Plus tard


# ================================================
# Location Names
# ================================================

location_garden                        JARDIN
location_containment                   ENDIGUEMENT
location_mine                          MINE
location_generator                     GÉNÉRATEUR
location_yard                          DÉPÔT
location_escort                        ESCORTE
location_pattern_buffer                MÉMOIRE TAMPON
location_biosphere                     BIOSPHÈRE
location_receiver                      RÉCEPTEUR
location_temple                        TEMPLE

location_unknown                       Secteur inconnu


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                Mode de commande
newcontrols_prefs_gestures             Par figures
newcontrols_prefs_icons                Par icônes

newcontrols_createnewtask              CRÉER NOUVEAU PROGRAMME

newcontrols_create_squad               Créer nouvelle escouade
newcontrols_create_engineer            Créer nouvel ingénieur
newcontrols_create_officer             Créer nouvel officier
newcontrols_create_armour              Créer nouveau blindé

newcontrols_delete_squad               Effacer cette escouade
newcontrols_delete_engineer            Effacer cet ingénieur
newcontrols_delete_officer             Effacer cet officier
newcontrols_delete_armour              Effacer ce blindé

newcontrols_select_squad               Sélectionner cette escouade
newcontrols_select_engineer            Sélectionner cet officier
newcontrols_select_officer             Sélectionner cet officier
newcontrols_select_armour              Sélectionner ce blindé

newcontrols_place_squad                Placer cette escouade
newcontrols_place_engineer             Placer cet ingénieur
newcontrols_place_officer              Placer cet officier
newcontrols_place_armour               Placer ce blindé

newcontrols_select_grenade             Sélectionner les grenades
newcontrols_select_rocket              Sélectionner les roquettes
newcontrols_select_airstrike           Sélectionner les frappes aériennes
newcontrols_select_controller          Sélectionner les contrôleurs

newcontrols_showresearch               Afficher l'écran de recherches
newcontrols_showtaskmanager            Afficher l'écran de gestionnaire de programmes
newcontrols_showobjectives             Afficher l'écran des objectifs

newcontrols_research_darwinian         Améliorer le programme Darwiniens (les équiper de meilleures armes)
newcontrols_research_officer           Améliorer le programme Officier (l'équiper davantage d'ordres)
newcontrols_research_squad             Améliorer le programme Escouade (augmenter le nombre d'unités)
newcontrols_research_laser             Améliorer le programme Laser (améliorer la portée)
newcontrols_research_grenade           Améliorer le programme Grenade (améliorer la portée)
newcontrols_research_rocket            Améliorer le programme Roquette (améliorer la portée)
newcontrols_research_airstrike         Améliorer le programme Frappe aérienne (augmenter le nombre de bombardiers)
newcontrols_research_armour            Améliorer le programme Blindé (améliorer leur capacité et la portée du canon de bataille)
newcontrols_research_taskmanager       Améliorer le programme Gestionnaire de programmes (plus de programmes simultanés)
newcontrols_research_engineer          Améliorer le programme Ingénieur (augmenter le nombre d'esprits qu'il peut transporter)

newcontrols_hidetaskmanager_kbd        Pour quitter le gestionnaire de programmes, appuyez sur TAB ou cliquez sur l'écran.


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                   Activer la première pompe à carburant
launchpad_objective2                   Activer la deuxième pompe à carburant
launchpad_objective3                   Activer la troisième pompe à carburant
launchpad_objective0                   Lancer la fusée

launchpad_primary_1                    Il y a trois pompes à carburant sur cette carte.
launchpad_primary_2                    Elles servent à extraire des matières premières des fonds marins et les transforment en un carburant liquide propre à faire fonctionner les moteurs de la fusée.
launchpad_primary_4                    Les pompes à carburant fonctionnent à l'énergie solaire, fournie par les panneaux solaires proches.
launchpad_primary_5                    Ces panneaux solaires doivent être opérés par des Darwiniens.
launchpad_primary_6                    Nettoyez l'infection virale autour des panneaux solaires, puis faites parvenir des Darwiniens à ces panneaux grâce à des officiers.
launchpad_primary_7                    Une fois opérationnels, les panneaux solaires feront fonctionner les pompes à carburant, qui à leur tour alimenteront la fusée.

launchpad_primary_rocket_1             Notre objectif consiste à aider les Darwiniens à lancer leur fusée.
launchpad_primary_rocket_2             Et nous allons pour ce faire devoir la ravitailler en carburant.
launchpad_primary_rocket_3             Le carburant est généré par les 3 pompes à carburant mises en évidence. Elles approvisionnent directement les réservoirs de la fusée.
launchpad_primary_rocket_4             Activez ces pompes à carburant en ordonnant à des Darwiniens d'opérer les panneaux solaires de la carte.
launchpad_primary_rocket_5             Une fois que la fusée aura fait le plein, nous pourrons effectuer une nouvelle tentative de décollage.

launchpad_intro_1                      Salutations, et bienvenue sur Darwinia !
launchpad_intro_2                      Je suis le docteur Sepulveda et j'ai créé ce monde numérique.
launchpad_intro_3                      Vous arrivez à point nommé. Les Darwiniens sont très occupés.
launchpad_intro_4                      Depuis la fin de la Grande Guerre, ils se sont mis en tête de construire une fusée.
launchpad_intro_5                      Les Darwiniens sont une forme de vie complètement numérique qui s'écoule dans un très important superordinateur.
launchpad_intro_6                      Chaque nouvelle génération est plus ambitieuse que la précédente. Ils veulent tous être les premiers dans la nouvelle fusée.
launchpad_intro_7                      Ce sont des petits êtres incroyablement curieux !
launchpad_intro_8                      Je ne suis pas certain de bien comprendre ce que les Darwiniens essaient vraiment d'accomplir.
launchpad_intro_9                      Mais en tous les cas, il s'agit là du projet le plus ambitieux qu'ils aient jamais entrepris.
launchpad_intro_9b                     Ils se sont développés et améliorés pendant des milliers de générations et possèdent leur propre culture et leurs propres croyances.
launchpad_intro_9c                     Cette fusée constitue l'apogée de tous leurs rêves et de toutes leurs ambitions, et un travail incroyable a été nécessaire à sa réalisation.
launchpad_intro_10                     Mon Dieu, nous sommes attaqués !
launchpad_intro_11                     Les Darwiniens rouges attaquent !
launchpad_intro_12                     Ils tentent de détruire la fusée !
launchpad_intro_13                     C'est insensé, ils vont provoquer une explosion qui exterminera tous les Darwiniens qui s'y trouvent !
launchpad_intro_14                     Mon Dieu.
launchpad_intro_15                     Je n'arrive pas à y croire.

launchpad_middemo_1                    Darwinia n'a pas toujours été comme cela.
launchpad_middemo_2                    Je me souviens encore des temps précédant l'arrivée du virus et le commencement de la Grande Guerre qui a failli détruire ce monde.
launchpad_middemo_3                    Les Darwiniens se sont tellement battus, et ont tellement progressé, que j'ai bien cru que nous avions nettoyé le système de cette infection.
launchpad_middemo_4                    Mais il semble à présent qu'à chaque fois que je détourne mon attention, les combats reprennent et tuent davantage encore de Darwiniens.
launchpad_middemo_5                    Les Darwiniens contrôlent à présent leur monde d'une manière impressionnante.
launchpad_middemo_6                    La Rampe de lancement n'est qu'un des multiples secteurs de Darwinia, mais c'est le premier que les Darwiniens ont construit entièrement seuls.
launchpad_middemo_8                    Regardez ce qu'ils ont accompli !
launchpad_middemo_9                    Le système de rendu que vous avez sous les yeux ne savait pas quoi faire en dehors des limites de ce monde… Il n'y avait qu'un grand vide blanc.
launchpad_middemo_10                   Mais les Darwiniens savaient qu'il y avait quelque chose. Ils ont manipulé le système de rendu jusqu'à pouvoir voir au-delà de leur monde.
launchpad_middemo_11                   Ces systèmes d'étoiles sont d'autres unités centrales et d'autres serveurs sur Internet, tous connectés pour former une gigantesque toile.
launchpad_middemo_12                   Je comprends à présent qu'ils veulent explorer les millions de systèmes qu'ils peuvent maintenant voir.
launchpad_middemo_13                   Le projet de la Grande Fusée constituera leur plus grande réussite, et ouvrira de nouveaux accès à chaque système.
launchpad_middemo_14                   Et si le virus n'était pas venu, ils seraient déjà là-haut, quelque part.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                   Bien, nous allons devoir aider les Darwiniens.
launchpad_tutorial_2_kbd               Habituez-vous d'abord à la caméra. Servez-vous des touches [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] et [KEYCAMERARIGHT] pour la déplacer.
launchpad_tutorial_2_xin               Habituez-vous d'abord à la caméra. Servez-vous du stick analogique gauche pour la déplacer.
launchpad_tutorial_3                   Pour modifier la hauteur de la caméra, appuyez sur haut et bas du BMD.
launchpad_tutorial_3_kbd               Pour changer la hauteur de la caméra, servez-vous de la molette de la souris. Ou vous pouvez appuyer sur [KEYCAMERAUP] et [KEYCAMERADOWN].
launchpad_tutorial_4_kbd               Afin de combattre la menace rouge, nous allons devoir créer des unités d'attaque. Maintenez enfoncée la touche [KEYICONSTASKMANAGERDISPLAY] pour afficher le gestionnaire de programmes.
launchpad_tutorial_4_xin               Nous allons devoir créer des unités d'attaque pour combattre la menace rouge. Appuyez sur X pour ouvrir le gestionnaire de tâches.
launchpad_tutorial_5_kbd               L'ESCOUADE constitue votre première arme contre l'armée rouge. Créez une ESCOUADE en cliquant sur l'icône d'escouade au milieu de l'écran lorsque le gestionnaire de programmes est ouvert.
