# =================================================
# Errors
# =================================================

error                                  Error
tutorial_20                            This building is an Incubator.  Its purpose is to convert the Souls of dead creatures into fresh new Darwinians.
tutorial_20b                           Unfortunately it's currently offline, due to the red viral Infection.  We need to use it to start creating Darwinians.
tutorial_20c                           To bring the building online we will need to use an ENGINEER.
tutorial_21_kbd                        To summon an ENGINEER, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and draw this gesture.
tutorial_21_xin                        To summon an ENGINEER, open the Task Manager and draw this gesture.
tutorial_22                            Engineers can be placed in starting points, or near Squads.  Place your Engineer and move him near the Incubator.
tutorial_23                            The first thing the Engineer will do is to reprogram the Incubator and remove the Viral infection, using the nearby Control Tower.
tutorial_24                            The Engineer will now collect up the Souls left behind by the dead Virii and carry them to the Incubator.
tutorial_24b                           All creatures in Darwinia have a Soul.  The Souls used to belong to the Darwinians before the Virus corrupted them.
tutorial_24c                           Using Engineers and Incubators, we can gradually harvest the evil Virus Souls and convert them back into native Darwinians.
tutorial_25                            The first Darwinians have been reborn!  This is fantastic news.
tutorial_26                            These guys used to own the planet, before the Virus invaded.  And it's these guys that we're going to help to recapture the world.

tutorial_28_kbd                        Hold [KEYGESTURESTASKMANAGERDISPLAY] and draw this gesture to create another SQUAD.
tutorial_28_xin                        Open the Task Manager and draw this gesture to create another SQUAD.
tutorial_29                            You can now start your SQUAD closer to the action, by placing them near the Control Tower you captured.

tutorial_30                            Ok, next task.
tutorial_31                            There are more evil creatures in this direction, including a rather nasty Centipede.
tutorial_31b                           I want you to wipe them out with Squads, then harvest their spirits into Darwinians.
tutorial_32                            Now take your Squad and attack the Viral infection that I just showed you.
tutorial_33                            Excellent work.  I'm very impressed.
tutorial_33b                           We now want to use an Engineer to reprogram this Incubator, and to collect up the nearby Souls.
tutorial_34_kbd                        Now move the Engineer near to the new Incubator so he can begin Reprogramming it.  Just Left Click to move an Engineer.
tutorial_34_xin                        Now move the Engineer near to the new Incubator so he can begin Reprogramming it.
tutorial_35                            That Engineer will now pick up the nearby Souls and place them in the Incubator, creating more Darwinians.
tutorial_35b                           Let me show you how to move the existing Darwinians around.
tutorial_35c                           Darwinians can't be directly controlled, but we can issue orders to them using an Officer.
tutorial_351                           To create an Officer, draw this gesture.
tutorial_36_kbd                        Click on an existing Darwinian to promote him to an Officer.
tutorial_36_xin                        Select an existing Darwinian to promote him to an Officer.
tutorial_37                            The most useful function if Officers is that they can order Darwinians around.
tutorial_37_kbd                        Officers can be moved around by Left Clicking.  But they're most useful function is that they can order Darwinians around.
tutorial_37b_kbd                       You can right click somewhere on the ground to order all the nearby Darwinians to walk there.
tutorial_38                            The ultimate objective here is to get this Refinery online so we can start producing some Primitives.
tutorial_38b                           The Refinery needs Darwinians at its base in order to operate.
tutorial_38c                           However the Darwinians can't currently defend themselves, so you'll need to clear the area out first using Squads.
tutorial_38d                           Once you've done that, use Officers to order the Darwinians up to the Refinery and they will begin operating it.
tutorial_38e                           Don't forget to use Engineers to collect up the Souls of dead Virii and Darwinians.
tutorial_39_kbd                        If you get stuck at any time, you can press [KEYSEPULVEDAHELP] and I'll try to help you. Good luck!

tutorial_40                            You have a Squad running already, but you aren't currently controlling it because it isn't the selected unit.
tutorial_40b_kbd                       To select your Squad, hold [KEYICONSTASKMANAGERDISPLAY] and press the TAB key until the Squad is selected.  Or you can just click on the Squad directly.

tutorial_41_kbd                        To summon another ENGINEER, hold [KEYGESTURESTASKMANAGERDISPLAY] to access the Task Manager and draw this gesture.
tutorial_41_xin                        To summon another ENGINEER, open the Task Manager and draw this gesture.
tutorial_42                            Now place the Engineer near a Squad or a Control Tower.

tutorial_43                            You already have an Engineer running, but it isn't currently selected.
tutorial_43b_kbd                       To select your Engineer, hold [KEYICONSTASKMANAGERDISPLAY] and TAB along until it is selected.  Or you can just click directly on the Engineer.

tutorial_squaddeath                    Looks like your SQUAD has been destroyed.  Not to worry, we can just create another.
tutorial_engineerdeath                 Unfortunately your ENGINEER has been destroyed.  We'll need to create another.

tutorial_skipped_kbd                   Ok I'll just let you get on with it.  Remember you can press [KEYSEPULVEDAHELP] at any time for help.  Good luck!
tutorial_skipped_xin                   Ok I'll just let you get on with it. Good luck!


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                  Refine 20 Primitives
pixelmines_objective2                  Enable Yard Trunk Port

pixelmines_intro_1                     This entire location is one giant mining facility, unfortunately now overrun by this damn Virus.
pixelmines_refinery_1                  This building at the centre of the facility is the Refinery.  It converts mined Polygons into Primitives which can be used later to build things.
pixelmines_refinery_1b                 It also drives the motor system that moves the carts around the track.
pixelmines_refinery_2                  This Refinery needs Darwinians at its control pads or else it's useless.  You'll need to safely escort some Darwinians up here to get the facility moving.
pixelmines_mines_1                     There are four underground mines built into the side of the landscape.  Each one pulls raw Polygons from the mountainside.
pixelmines_mines_1b                    Generations of Darwinian miners have worked these quarries and it's starting to show its toll on the hillside.
pixelmines_mines_2                     The Darwinians will extract the Polygons from deep inside the quarry and dump them into the mining carts as they move past, on their way to the Refinery.
pixelmines_mines_3                     We'll need to mine at least 20 Primitives to be able to build anything substantial.

pixelmines_yardport_1                  Once the Primitives have been refined, they need to be transported to the Construction Yard where they can be used to build things.
pixelmines_yardport_2                  Bring this Trunk Port online so the refined Primitives can be transported away.

pixelmines_progress_1                  Wonderful work, the Refinery is online and the motor system is running.  But the mine carts are still empty.  We need to bring the Mines themselves online to fill the carts.
pixelmines_progress_2                  There are four underground mines built into the side of the landscape.  Each one pulls raw Polygons from the mountainside.


# =================================================
# Dialog strings
# =================================================

dialog_newlocationfail1                Failed to create New Location
dialog_newlocationfail2                You cannot create a new location.\nYou must first create a MOD from the main menu\nbefore you can add locations.

dialog_savelocationsfail1              Failed to Save
dialog_savelocationsfail2              You cannot save the location data.\nYou must first create a MOD from the main menu\nbefore you can edit and save locations.

dialog_mainmenu                        Main Menu
dialog_leavedarwinia                   Leave Darwinia
dialog_visitwebsite                    Visit Website
dialog_close                           Close
dialog_apply                           Apply
dialog_cancel                          Cancel
dialog_create                          Create
dialog_yes                             Yes
dialog_no                              No
dialog_ok                              Ok

dialog_mods                            Mods
dialog_currentmod                      Current Mod
dialog_loadmod                         Load Mod
dialog_unloadmod                       Unload Mod
dialog_createnewmod                    Create New Mod

dialog_profile                         Profile
dialog_newprofile                      Create New Profile
dialog_currentprofilename              Current Profile Name
dialog_loadprofile                     Load Profile
dialog_name                            Name:

dialog_options                         Options
dialog_high                            High
dialog_medium                          Medium
dialog_low                             Low
dialog_upgrade                         I need to upgrade
dialog_full							   Full
dialog_partial						   Partial
dialog_enabled                         Enabled
dialog_disabled                        Disabled

dialog_otheroptions                    Other Options
dialog_helpsystem                      Help System
dialog_controlhelpsystem               Control Pad Help
dialog_bootloaders                     Boot Loaders
dialog_christmas                       Christmas
dialog_language                        Language
dialog_difficulty                      Difficulty
dialog_standard_difficulty             Standard
dialog_hard_difficulty                 Hard

dialog_inputoptions                    Control Options
dialog_restoredefaults                 Restore Defaults
dialog_mousebuttons                    Mouse Buttons

dialog_soundoptions                    Sound Options
dialog_unavailable                     unavailable
dialog_soundlibrary                    Sound Library
dialog_directsound                     DirectSound
dialog_softwaresound                   Software Sound
dialog_mixfrequency                    Mix Frequency
dialog_11khz                           11 KHz Low Quality
dialog_22khz                           22 KHz Medium Quality
dialog_44khz                           44 KHz High Quality
dialog_numchannels                     Num Channels
dialog_8channels                       8 Channels
dialog_16channels                      16 Channels
dialog_32channels                      32 Channels
dialog_64channels                      64 Channels
dialog_memoryusage                     Memory Usage
dialog_swapstereo                      Swap Stereo
dialog_hw3dsound                       Hardware3d Sound
dialog_realtimeeffects                 Realtime Effects
dialog_cpuusage                        CPU Usage
dialog_cpuusageunknown                 CPU Usage unknown

dialog_graphicsoptions                 Graphics Options
dialog_landscapedetail                 Landscape Detail
dialog_waterdetail                     Water Detail
dialog_skydetail                       Sky Detail
dialog_buildingdetail                  Building Detail
dialog_entitydetail                    Entity Detail
dialog_pixeleffect                     Pixel Effect

dialog_screenoptions                   Screen Options
dialog_refreshrate                     Refresh Rate
dialog_windowed                        Windowed
dialog_windowedmode                    (windowed mode)
dialog_resolution                      Resolution
dialog_colourdepth                     Colour Depth
dialog_colourdepth_16                  16 bit
dialog_colourdepth_24                  24 bit
dialog_colourdepth_32                  32 bit
dialog_zbufferdepth                    Z Buffer Depth

dialog_locationmenu                    Location Menu
dialog_leavelocation                   Leave Location
dialog_buyonline                       Buy Online

dialog_resetlocation                   Reset Location
dialog_reset1                          Are you sure you wish
dialog_reset2                          to reset this location?
dialog_reset3                          Your progress on this island
dialog_reset4                          will be lost and you will
dialog_reset5                          have to begin from scratch.

dialog_toolsmenu                       Tools Menu

dialog_multiplefiles                   (multiple files selected)

dialog_largemenus                      Large Menus
dialog_auto                            Automatic
dialog_autocam                         Automatic Camera

dialog_unplugged1                      Controller disconnected
dialog_unplugged2                      Your controller has been disconnected. Please connect the controller to continue.

dialog_skiptutorial_kbd                Press [KEYSKIPTUTORIAL] to skip the tutorial
dialog_skiptutorial_xin                Press BACK to skip the tutorial

dialog_skipprologue                    Skip Prologue
dialog_playprologue                    Play Prologue

dialog_skip1                           Are you sure you wish to skip the Prologue and begin the main game?
dialog_prologue1                       Are you sure you want to stop your game and play the Prologue level?

dialog_buydarwinia					   Buy Darwinia
dialog_buynow						   Buy Now
dialog_buynow1						   We hope you've enjoyed playing Darwinia!
dialog_buynow2						   To carry on playing please buy the game.
dialog_later						   Later


# ================================================
# Location Names
# ================================================

location_garden                        Garden
location_containment                   Containment
location_mine                          Mine
location_generator                     Generator
location_yard                          Yard
location_escort                        Escort
location_pattern_buffer                Pattern Buffer
location_biosphere                     Biosphere
location_receiver                      Receiver
location_temple                        Temple

location_unknown                       unknown location


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                Control Mode
newcontrols_prefs_gestures             Gesture based
newcontrols_prefs_icons                Icon based

newcontrols_createnewtask              CREATE NEW TASK

newcontrols_create_squad               Create new Squad
newcontrols_create_engineer            Create new Engineer
newcontrols_create_officer             Create new Officer
newcontrols_create_armour              Create new Armour

newcontrols_delete_squad               Delete this Squad
newcontrols_delete_engineer            Delete this Engineer
newcontrols_delete_officer             Delete this Officer
newcontrols_delete_armour              Delete this Armour

newcontrols_select_squad               Select this Squad
newcontrols_select_engineer            Select this Engineer
newcontrols_select_officer             Select this Officer
newcontrols_select_armour              Select this Armour

newcontrols_place_squad                Place this Squad
newcontrols_place_engineer             Place this Engineer
newcontrols_place_officer              Place this Officer
newcontrols_place_armour               Place this Armour

newcontrols_select_grenade             Select Grenade weapon
newcontrols_select_rocket              Select Rocket weapon
newcontrols_select_airstrike           Select Airstrike weapon
newcontrols_select_controller          Select Controller weapon

newcontrols_showresearch               Show research screen
newcontrols_showtaskmanager            Show task manager screen
newcontrols_showobjectives             Show objectives screen

newcontrols_research_darwinian         Research the Darwinian program (equips them with better weapons)
newcontrols_research_officer           Research the Officer program (equips them with more order types)
newcontrols_research_squad             Research the Squad program (improves number of squaddies)
newcontrols_research_laser             Research the Laser program (increases the range)
newcontrols_research_grenade           Research the Grenade program (increases the range)
newcontrols_research_rocket            Research the Rocket program (increases the range)
newcontrols_research_airstrike         Research the Airstrike program (increases the number of bombers)
newcontrols_research_armour            Research the Armour program (increases the carrying capacity, and the Cannon range)
newcontrols_research_taskmanager       Research the Task Manager program (allows you to run more programs at once)
newcontrols_research_engineer          Research the Engineer program (increases spirit carrying capacity)

newcontrols_hidetaskmanager_kbd        To exit the Task Manager press TAB or click the screen


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                   Enable primary fuel pump
launchpad_objective2                   Enable secondary fuel pump
launchpad_objective3                   Enable tertiary fuel pump
launchpad_objective0                   Launch Rocket

launchpad_primary_1                    There are three Fuel Pumps on this map.
launchpad_primary_2                    Their function is to extract raw minerals from the sea bed, and process it into liquid fuel the Rocket can use in its engines.
launchpad_primary_4                    The Fuel Pumps are powered by Solar Panels nearby.
launchpad_primary_5                    These Solar panels require Darwinians at their base in order to operate.
launchpad_primary_6                    Clear out the Viral infection around the Solar panels, then escort some Darwinians to them using Officers.
launchpad_primary_7                    Once operational the Solar Panels will power the Fuel Pump, which will in-turn push liquid fuel into the Rocket.

launchpad_primary_rocket_1             Our primary aim is to help the Darwinians launch their Rocket.
launchpad_primary_rocket_2             In order to do that we will first need to refuel it.
launchpad_primary_rocket_3             The fuel is generated by the 3 highlighted Fuel Pumps, which push the fuel direct into the Rocket's fuel tanks.
launchpad_primary_rocket_4             Bring those Fuel Pumps online by manning the solar panels around the map with Darwinians.
launchpad_primary_rocket_5             Once the Rocket is fully refuelled we will be able to attempt another launch.

launchpad_intro_1                      Greetings visitor, and welcome to Darwinia!
launchpad_intro_2                      My name is Dr Sepulveda and I'm the creator of this digital world.
launchpad_intro_3                      You've come at a great time.  The native Darwinians have been busy.
launchpad_intro_4                      Since the end of the Great War they've taken it upon themselves to build a rocket.
launchpad_intro_5                      The Darwinians are a totally digital lifeform, running inside a very large supercomputer.
launchpad_intro_6                      Each generation is more ambitious than the last.  They all want to be the first into their new rocket.
launchpad_intro_7                      They're incredibly curious little fellows!
launchpad_intro_8                      I'm not sure what the Darwinians ultimately wish to achieve here.
launchpad_intro_9                      But this is clearly their most ambitious project yet.
launchpad_intro_9b                     They've been growing and improving for thousands of generations and have their very own culture and beliefs.
launchpad_intro_9c                     This rocket is the culmination of all their dreams and ambitions, and it's taken them an incredibly long time to get this far.
launchpad_intro_10                     My God, we're under attack!
launchpad_intro_11                     The Red Darwinians are attacking!
launchpad_intro_12                     My God, they're trying to destroy the Rocket!
launchpad_intro_13                     This is insane, they'll cause an explosion that will wipe out all the Darwinians inside!
launchpad_intro_14                     My God.
launchpad_intro_15                     I can't believe this is happening.

launchpad_middemo_1                    Darwinia wasn't always like this.
launchpad_middemo_2                    I can still remember a time before the Virus came, before the great war that almost destroyed this world.
launchpad_middemo_3                    The Darwinians fought so hard, and came so far, and I really did think we'd cleared the system of the infection.
launchpad_middemo_4                    But it seems now that every time I turn my back, there's another outbreak somewhere and more Darwinians are killed.
launchpad_middemo_5                    The control the Darwinians now have over their world is amazing.
launchpad_middemo_6                    The Launchpad is one of many locations in Darwinia, but it's the first the Darwinians have built entirely on their own.
launchpad_middemo_8                    Look at what they've achieved!
launchpad_middemo_9                    The renderer you're looking at didn't know what to do outside the confines of the world...it used to be just a blank space.
launchpad_middemo_10                   But the Darwinians knew there was more.  They manipulated the rendering subsystem until they could see beyond their world.
launchpad_middemo_11                   Those star systems are other mainframes and servers on the Internet, all connected in a giant world wide web.
launchpad_middemo_12                   I realise now that their intention is to explore the millions of computer systems they can now see around them.
launchpad_middemo_13                   The Great Rocket project will be their finest achievement, and it will open their horizons to every computer system in the world.
launchpad_middemo_14                   And if it wasn't for this Virus, they'd already be out there.

# launchpad_middemo_5                As bleak as the Great War was for the Darwinians, it made them grow and learn at an astonishing rate.
# launchpad_middemo_6                Forced to fight for their lives or face extinction, the Darwinians came further in those few intensely violent days than the entire decade of evolution beforehand.

launchpad_tutorial_1                   Right, we're going to have to help the Darwinians.
launchpad_tutorial_2_kbd               Firstly let's get to grips with the camera.  Use the [KEYCAMERAFORWARDS], [KEYCAMERALEFT], [KEYCAMERABACKWARDS] and [KEYCAMERARIGHT] keys to move the camera around.
launchpad_tutorial_2_xin               Firstly let's get to grips with the camera.  Use the left stick to move the camera.
launchpad_tutorial_3                   To change the camera's height, press up or down on the D-Pad.
launchpad_tutorial_3_kbd               To change the camera's height, scroll your middle mouse button up and down.  Or you can press [KEYCAMERAUP] and [KEYCAMERADOWN].
launchpad_tutorial_4_kbd               In order to combat the Red menace, we're going to have to create some offensive units.  Hold the [KEYICONSTASKMANAGERDISPLAY] key to bring up the Task Manager.
launchpad_tutorial_4_xin               In order to combat the Red menace, we're going to have to create some offensive units. Press X to open the TaskManager.
launchpad_tutorial_5_kbd               The SQUAD is your primary weapon against the evil Red army.  Create a SQUAD by clicking on the squad icon in the middle of the screen while the Task Manager is open.
launchpad_tutorial_5_xin               The SQUAD is your primary weapon against the evil Red army.  Create a SQUAD by selecting the squad icon in the middle of the screen and pressing A.
launchpad_tutorial_5_error             That's the wrong Icon.  Try again.
launchpad_tutorial_6_kbd               In order to place the new SQUAD into the world, click inside the highlighted starting area.
launchpad_tutorial_6_xin               In order to place the new SQUAD into the world, move your cursor into the highlighted starting area and press A.
launchpad_tutorial_7_kbd               Squads need to be directly controlled. Click the Left Mouse Button to move them around the landscape.
launchpad_tutorial_7_xin               Squads need to be directly controlled. Use the left stick to move them around.
launchpad_tutorial_8                   Use the right stick to fire their lasers. Move the stick in the direction you want to fire.
launchpad_tutorial_8_kbd               Hold the Right Mouse Button to fire their lasers.
launchpad_tutorial_9                   Now take your Squad and wipe out those evil Virii nearby. Don't let them get too close!
launchpad_tutorial_9_error             Looks like your Squad has been destroyed.  Not to worry, we can just create another.
launchpad_tutorial_10                  That blue glowing item up ahead is a piece of my Research.  It contains a weapon we can use against the Red Virii.
launchpad_tutorial_11_kbd              In order to capture this Research we need to create an Engineer. Hold [KEYICONSTASKMANAGERDISPLAY], then click on the Engineer button.
launchpad_tutorial_11_xin              In order to capture this Research we need to create an Engineer. Open the Task Manager, select the Engineer button, and press A.
launchpad_tutorial_12                  Place your new Engineer near your Squad and move him near the Research item.
launchpad_tutorial_12b                 Engineers are just dumb debugging tools, but they serve a number of purposes.
launchpad_tutorial_12c                 Here you can see the Engineer collecting up that piece of research.
launchpad_tutorial_12d                 Once he's done he will upload it to my system, and we can make some use of it.
launchpad_tutorial_12e                 You might find other Research floating around like this.  It would be very helpful if you could collect it for me.
launchpad_tutorial_13                  Fantastic, you've managed to recapture the Grenade weapon.
launchpad_tutorial_13b_kbd             Click on the existing Squad to switch control back to them.  Alternatively you can click on them in the Task Manager, or you can press 1.
launchpad_tutorial_13b_xin             Highlight existing Squad and press A to switch control back to them.  Alternatively you can select them in the Task Manager, or switch between your active tasks using the Left and Right bumper buttons.
launchpad_tutorial_14                  To throw a grenade, pull the right trigger while firing your lasers. The further you move the right stick, the further you will throw the grenade.
launchpad_tutorial_14_kbd              While you are holding the Right Mouse Button to fire lasers, tap the Left Mouse Button to throw a Grenade.
launchpad_tutorial_15                  Now I'd recommend you take your squad, and wipe out those Virii over the hill using your new weapons.
launchpad_tutorial_16                  We need to reach the Radar dish nearby, so make sure you get them all.
launchpad_tutorial_17                  This building is a Radar Dish.  Radar dishes can be used to travel between disconnected islands.
launchpad_tutorial_18                  We're now going to use it to open up a link to the neighbouring island, then we're going to send the Squad through that link.
launchpad_tutorial_19                  Unfortunately this Radar Dish has been infected with the same Red virus you've been fighting.
launchpad_tutorial_20                  In order to use it we must first make our Engineer reprogram it to clear out the viral infection.
launchpad_tutorial_21_kbd              Reselect your Engineer and move him near the Radar Dish to begin reprogramming.  Click on his icon in the Task Manager to reselect him, or just click on him directly.
launchpad_tutorial_21_xin              Reselect your Engineer and move him near the Radar Dish to begin reprogramming.  Select his icon in the Task Manager to reselect him, or just select him directly.
launchpad_tutorial_22                  The Engineer can access the Radar Dish via the nearby Control Tower.  He's reprogramming it now so we can use it.
launchpad_tutorial_23_kbd              Ok the Radar Dish is now under our control.  Deselect your Engineer by pressing [KEYUNITDESELECT], then click on the Radar Dish.
launchpad_tutorial_23_xin              Ok the Radar Dish is now under our control.  Deselect your Engineer by pressing B, and then select the Radar Dish by highlighting it and pressing A.
launchpad_tutorial_24_kbd              Now align the Dish by clicking on the receiver on the distant island.  I've highlighted the receiver for you.  You can zoom with the middle mouse button or the [KEYCAMERAZOOM] key.
launchpad_tutorial_24_xin              Now align the Dish by aiming at the receiver on the distant island and pressing A.  I've highlighted the receiver for you. You can zoom in by pulling and holding the left trigger.
launchpad_tutorial_25_kbd              You should now see the dishes are aligned, and we can send our Squad through.  Deselect the dish by pressing [KEYUNITDESELECT], then reselect your SQUAD.
launchpad_tutorial_25_xin              You should now see the dishes are aligned, and we can send our Squad through.  Deselect the dish by pressing B, then reselect your SQUAD.
launchpad_tutorial_26_kbd              You can now send your SQUAD through the dish by clicking on it while they are selected.
launchpad_tutorial_26_xin              You can now send your SQUAD through the dish simply by moving your Squad towards it.

launchpad_tutorial_defend_1            Be careful, there are more Virii nearby.
launchpad_tutorial_defend_2            Defend yourself!

launchpad_tutorial_40                  This building is an Incubator.  It's a very important building in Darwinia.
launchpad_tutorial_41                  We can use it to convert the souls of those creatures you've just killed into Darwinians.
launchpad_tutorial_42                  But just like the Radar Dish, the first thing we need to do is reprogram it to remove the viral infection.
launchpad_tutorial_43_kbd              Create an Engineer near the Incubator to reprogram it.  Just hold [KEYICONSTASKMANAGERDISPLAY] and click on the Engineer button.  Or you can press [KEYICONSTASKMANAGERNEWENGINEER].
launchpad_tutorial_43_xin              Create an Engineer near the Incubator to reprogram it.  Just open the Task Manager and select the Engineer button.
launchpad_tutorial_44                  Now that the Incubator is online, you will see the Engineer harvesting souls.
launchpad_tutorial_45                  All creatures in this world have a soul - regardless if they are a friendly Darwinian or an evil Virus.
launchpad_tutorial_46                  Engineers can pick up the souls of dead creatures and deposit them into Incubator buildings for rebirth.
launchpad_tutorial_47                  The Incubators will convert the souls one at a time into new Darwinians.
launchpad_tutorial_48                  This is how we fight the virus - we destroy their evil red forms, harvest their souls, and convert them into friendly Darwinians.
launchpad_tutorial_49                  Good work - the first Darwinians have been born.
launchpad_tutorial_50                  As I was saying earlier, they're an incredibly curious lot, and I made a point of designing them with their own sense of free will.
launchpad_tutorial_51                  We can't directly control them like we do with the Squaddies and Engineers.
launchpad_tutorial_52                  But they will listen to their own - we can influence them using Officers.
launchpad_tutorial_53                  The Officer research is up ahead.  Wipe out the Virus around it, and capture the research using an Engineer.
launchpad_tutorial_54                  Ok to fill you in on the plan, what I'm trying to do is to refuel the Rocket so the Darwinians can have another go at launching it.
launchpad_tutorial_54b                 Eventually we're going to have to face those evil Red Darwinians around the rocket, but before we can do that we need to refuel it.
launchpad_tutorial_55                  Most of the rocket fuel was burnt away in the previous attack and we need to resupply it.
launchpad_tutorial_56                  The rocket fuel is generated by three Fuel Pumps dotted around the main island.  Here's one of them.
launchpad_tutorial_57                  Their job is to extract raw fuel from the sea bed and refine it into Rocket fuel, which is then pumped into the rocket's fuel tanks.
launchpad_tutorial_58                  Unfortunately all three Fuel Pumps are offline, and need power in order to operate.
launchpad_tutorial_59                  That power is generated by these Solar Panels.
launchpad_tutorial_60                  In order to make these Solar Panels work we need to escort some Darwinians to each of them.
launchpad_tutorial_61                  And the piece of Research you've just picked up will do just that - it will allow us to guide the Darwinians around using Officers.
launchpad_tutorial_62_kbd              Hold [KEYICONSTASKMANAGERDISPLAY] and click on the button to create an Officer.  Or you can press [KEYICONSTASKMANAGERNEWOFFICER].
launchpad_tutorial_62_xin              Open the Task Manager and select the button to create an Officer.
launchpad_tutorial_63_kbd              Now we need to select a Darwinian to promote to be our Officer.  Click on any of these Darwinians to promote them.
launchpad_tutorial_63_xin              Now we need to select a Darwinian to promote to be our Officer.  Highlight one of the Darwinians and press A to promote them.
launchpad_tutorial_64_kbd              We can now influence the other Darwinians around us. Right click on the Officer to put him into FOLLOW mode.
launchpad_tutorial_64_xin              We can now influence the other Darwinians around us. Highlight the Officer and pull the right trigger to put him into FOLLOW mode.
launchpad_tutorial_65                  Those Darwinians would now follow the Officer wherever he went.  In this case, we've gathered together all the Darwinians nearby.
launchpad_tutorial_66_kbd              Right click near the Solar Panels to put the Officer into GOTO mode.
launchpad_tutorial_66_xin              Move your cursor near the Solar Panels and pull the right trigger to put the Officer into GOTO mode.
launchpad_tutorial_67                  The Officer is ordering all the nearby Darwinians to march to that spot.
launchpad_tutorial_68                  You can have as many Officers as you need.  Now use Officers to occupy the control panels around the base of each of the three Solar Panels.
launchpad_tutorial_69                  Excellent work.  The first batch of Solar Panels are up and running.
launchpad_tutorial_70                  So long as they have Darwinians operating them they will continue to generate power for as long as we need it.
launchpad_tutorial_71                  The first Fuel Pump is now receiving that power and has begun extracting raw fuel from the ocean bed.
launchpad_tutorial_72                  There's a whole digital ecosystem under the ocean that has been running for over a decade, so there's no shortage of minerals that we can use as fuel.
launchpad_tutorial_73                  Of course, I didn't realise this - the Darwinians came up with the idea of mining the ocean beds for fuel.
launchpad_tutorial_74                  You can see the first of the Rocket Fuel being pumped into the rocket's fuel tanks now.
launchpad_tutorial_75                  Anyway.
launchpad_tutorial_76                  There are still two more Fuel Pumps that need powering up, so we'd better get on with it.
launchpad_tutorial_77                  You should probably head this way next.

launchpad_reprogram_1_kbd              To align this Radar Dish, first wait until it has been reprogrammed, then deselect your current task by pressing [KEYUNITDESELECT].
launchpad_reprogram_1_xin              To align this Radar Dish, first wait until it has been reprogrammed, then deselect your current task by pressing B.
launchpad_reprogram_2_kbd              You can then click on the Radar Dish, and align it by clicking on the receiving Radar Dish.
launchpad_reprogram_2_xin              You can then select the Radar Dish by pressing A, and align it by targetting the receiving Radar Dish and pressing A again.
launchpad_reprogram_3_kbd              When you are done, deselect the dish by pressing [KEYUNITDESELECT].
launchpad_reprogram_3_xin              When you are done, deselect the dish by pressing B.

launchpad_dgupgrade_1                  You've found some of my Research into Darwinian weaponry!
launchpad_dgupgrade_2                  This research item will equip our green Darwinians with the same grenades your Squaddies are using.
launchpad_dgupgrade_3                  Our Darwinians will stand a much better chance against those evil Red Virii now that they have Grenades.

launchpad_finalintro_1                 This island is heavily infected with the Virus.
launchpad_finalintro_2                 Remember to capture the nearby Incubator with an Engineer, and harvest the souls of the dead as you kill them.
launchpad_finalintro_3                 Don't be afraid to use the newly born Darwinians as fighters, by ordering them to attack the enemy with your Officers.

launchpad_finalisland_1                The three Fuel Pumps are now operating perfectly, and the Rocket is being refuelled.  Well done.
launchpad_finalisland_2                We now face the final hurdle.  We must attack and destroy the evil red Darwinians that occupy the launch pad.
launchpad_finalisland_3                Those buildings they are clustered around are called Spawn Points.  You'll need to take control of them from the Red Army.
launchpad_finalisland_4                You can think of these buildings as Incubators running on automatic - they will spawn new Darwinians endlessly, until a certain population is reached.
launchpad_finalisland_5                Currently they are controlled by the Red Darwinians, so the newly spawned Darwinians will also be Red.
launchpad_finalisland_6                Once you capture the first of these Spawn Points you will start receiving new Green Darwinians immediately.
launchpad_finalisland_7                In order to capture the first Spawn Point you will need to bring friendly Green Darwinians through this Radar Dish link.
launchpad_finalisland_8                The Red Darwinians will attack you as soon as you take the first Spawn Point from them, so be careful.
launchpad_finalisland_9                And good luck!

launchpad_reprogram2_1                 Align this Radar dish to the centre island.
launchpad_reprogram2_2                 You can then guide Darwinians through the link using an Officer.

launchpad_success_1                    We've done it!
launchpad_success_2                    I want to thank you, from the bottom of my heart.
launchpad_success_3                    If you want to see more of this world and learn about the Great War, please buy the full game now.
launchpad_success_4                    Goodbye, my friend!

launchpad_success_5                    Come, I will show you how this all began, when Darwinia was changed forever...

launchpad_button_exitdemo              EXIT DEMO
launchpad_button_buynow                BUY NOW

launchpad_buyme_1                      WANT MORE?
launchpad_buyme_2                      Buy Darwinia online and
launchpad_buyme_3                      DOWNLOAD THE GAME IMMEDIATELY!
launchpad_buyme_4                      Just a 30Mb download stands
launchpad_buyme_5                      between you and the full game.

launchpad_buyme_oberon_1a              WANT MORE?
launchpad_buyme_oberon_2               Buy Darwinia now and
launchpad_buyme_oberon_3               PLAY THE FULL GAME IMMEDIATELY!


# ================================================
# END OF STRINGS FILE FOR DEMO
# All strings below this line will NOT 
# be included in the DEMO build
# ================================================

demo_endoffile                         Unused


# ================================================
# Garden
# ================================================

