# =================================================
# Errors
# =================================================

error                                  Fehler
research_airstrike_v1                  Ach du meine Güte, das ist ausgezeichnet. Du hast mein Luftangriffs-Programm gefunden!  Wähle Luftangriff als Waffe für deinen Trupp, indem du die Geste zeichnest, und wirf dann die Markierungsgranate, um dem Programm das Angriffsziel zu zeigen.
research_airstrike_v1_icons_kbd        Ach du meine Güte, das ist ausgezeichnet. Du hast mein Luftangriffs-Programm gefunden!  Klicke im Task Manager auf das Luftangriffs-Symbol, um diese Waffe auszuwählen. Wirf dann die Markierungsgranate, um dem Programm das Angriffsziel zu zeigen.
research_airstrike_v1_icons_xin        Ach du meine Güte, das ist ausgezeichnet. Du hast mein Luftangriffs-Programm gefunden!  Wähle im Task Manager das Luftangriffs-Symbol, um diese Waffe auszuwählen. Wirf dann die Markierungsgranate, um dem Programm das Angriffsziel zu zeigen.
research_airstrike_v2                  Es ist mir gelungen, das Luftangriffs-Programm zu verbessern. Jede Markierungsgranate veranlasst zwei Invaders zum Abwerfen ihrer Bomben.
research_airstrike_v3                  Ich habe jeder Luftangriffseinheit einen weiteren Invader hinzugefügt.
research_airstrike_v4                  Für jede Luftangriffs-Markierung gibt es jetzt vier Invader. Ich hab alles getan, was ich konnte.

research_taskmanager                   Ich werde versuchen, den Task Manager für Dich aufzurüsten. Mit ein bisschen Geschick sollte es möglich sein, gleichzeitig mehrere Programm zu fahren.
# research_taskmanager_v1            Unused
# research_taskmanager_v2            Unused
research_taskmanager_v3                Ich habe einige Verbesserungen am Task Manager vorgenommen. Du kannst jetzt bis zu vier Programme gleichzeitig fahren.
research_taskmanager_v4                Ich habe den Task Manager aufgerüstet. Jetzt kannst du fünf Programme aufs Mal fahren. Damit stoßen wir an die Grenzen des Programms, eine weitere Verbesserung wird nicht möglich sein.

research_darwinian                     Ich will versuchen, das Grundmodell der Darwinianer zu verbessern. Es müsste mir gelingen, sie mit ein paar anständigen Waffen auszustaffieren, damit sie sich verteidigen können.
# research_darwinian_v1              Unused
# research_darwinian_v2              Unused
research_darwinian_v3                  Ich habe die Darwinianer aufgerüstet, damit sie Laser verwenden können. Damit sollten sie sich gegen Virenangriffe schützen können.
research_darwinian_v4                  Ich habe die Darwinianer mit Granaten ausgerüstet. Das macht ein bisschen Angst, aber so sollten sie eine Chance gegen stärkere Feinde haben. Ich hab alles getan, was ich konnte.

research_engineer                      Ich werde versuchen, die Ingenieure zu verbessern. Es wäre doch schön, sie könnten mehr Seelen tragen.
# research_engineer_v1               Unused
research_engineer_v2                   Ich habe die Anzahl Seelen, die deine Ingenieure tragen können, auf 15 erhöht.
research_engineer_v3                   Ich habe die Anzahl Seelen, die deine Ingenieure tragen können, auf 25 erhöht.
research_engineer_v4                   Ich habe die Anzahl Seelen, die deine Ingenieure tragen können, auf 30 erhöht. Mehr kann ich für die Ingenieure nicht tun.

research_armour                        Ich werde mal das Panzer-Programm unter die Lupe nehmen. Ich denke, ich kann die Kapazität verbessern und wahrscheinlich auch die Reichweite der Kanone.
# research_armour_v1                 Unused
research_armour_v2                     Es ist mir gelungen, den Panzer aufzurüsten. Es passen jetzt 20 Darwinianer hinein. Ich habe die Reichweite der Kanone vergrößert.
research_armour_v3                     Ich habe eine weitere Verbesserung am Panzer vorgenommen. Es passen jetzt 30 Darwinianer hinein. Und ich habe die Reichweite der Kanone auf mehr als das Doppelte der ursprünglichen Spezifikation verbessert.
research_armour_v4                     Ich habe die Kapazität des Panzer-Programms auf 40 Darwinianer erhöht. Und die Kanone hat jetzt ihre maximale Reichweite. Ich hab alles getan, was ich konnte.

research_officer                       Ich mache mich jetzt an die Verbesserung des Offizier-Programms. Es wäre schön, wir könnten ihnen ein paar nützliche Befehle einprogrammieren, mit denen sie die Darwinianer beeinflussen können.
# research_officer_v1                Unused
# research_officer_v2                Unused
research_officer_v3_kbd                Ich habe das Offiziers-Programm so aufgerüstet, dass sie jetzt neben dem GEHEZU- auch einen FOLGEN-Befehl erteilen können. Rechtsklicke neben einem Offizier, um zwischen den Befehlen umzuschalten.
research_officer_v3_xin                Ich habe das Offiziers-Programm so aufgerüstet, dass sie jetzt neben dem GEHEZU- auch einen FOLGEN-Befehl erteilen können.
research_officer_v3_1mb_kbd            Ich habe das Offiziers-Programm so aufgerüstet, dass sie jetzt neben dem GEHEZU- auch einen FOLGEN-Befehl erteilen können. Klicke neben dem Offizier und halte die Taste gedrückt, um zwischen den Befehlen umzuschalten.
research_officer_v4_kbd                Ich habe den Offizieren einen neuen Befehl einprogrammiert, ABSORBIEREN. Damit können sie alle in ihrem Umkreis befindlichen Darwinianer in einen Schild absorbieren, der sie in gefährlichen Gegenden schützt. Rechtsklicke neben einem Offizier, um zwischen den Befehlen umzuschalten.
research_officer_v4_xin                Ich habe den Offizieren einen neuen Befehl einprogrammiert, ABSORBIEREN. Damit können sie alle in ihrem Umkreis befindlichen Darwinianer in einen Schild absorbieren, der sie in gefährlichen Gegenden schützt.
research_officer_v4_1mb_kbd            Ich habe den Offizieren einen neuen Befehl einprogrammiert, ABSORBIEREN. Damit können sie alle in ihrem Umkreis befindlichen Darwinianer in einen Schild absorbieren, der sie in gefährlichen Gegenden schützt. Klicke neben dem Offizier und halte die Taste gedrückt, um zwischen den Befehlen umzuschalten.

research_explanation_1                 Ich werde eine Weile lang an den Programmen, die du verwendest, arbeiten, d.h. am Trupp-, am Ingenieur-Programm usw.
research_explanation_2                 Die meisten davon befinden sich noch in den frühen Phasen des Beta-Tests, weshalb ich glaube, dass sie alle noch ein ganzes Stück verbessert werden können.
research_explanation_3_kbd             Wenn du meine Fortschritte verfolgen willst, rufst du mit [KEYGESTURESTASKMANAGERDISPLAY] den Task Manager auf und scrollst nach links, indem du die Maus nach links bewegst, oder mithilfe von [KEYCAMERALEFT].
research_explanation_3_xin             Wenn du meine Fortschritte verfolgen willst, öffne den Task Manager und scrolle nach links.
research_explanation_3_icons_kbd       Wenn du meine Fortschritte verfolgen willst, rufst du mit [KEYICONSTASKMANAGERDISPLAY] den Task Manager auf und scrollst nach links, indem du die Maus nach links bewegst, oder mithilfe von [KEYCAMERAFORWARDS].
research_explanation_3_icons_xin       Wenn du meine Fortschritte verfolgen willst, öffne den Task Manager und scrolle nach oben.
research_explanation_4                 Von hier aus kannst du mir Prioritäten setzen. Ich werde versuchen, die Dinge in Angriff zu nehmen, die Dir am wichtigsten scheinen.


# ================================================
# Tutorial
# ================================================

tutorial_intro_1                       Wer in Teufels Namen bist du?  Ich dachte, ich hätte alle externen Verbindungen abgebrochen.
tutorial_intro_2                       Also gut, wenn du schon da bist, dann mach Dich wenigstens nützlich.
tutorial_intro_3                       Willkommen in Darwinia - oder dem, was davon übrig geblieben ist.
tutorial_intro_4                       Darwinia ist der erste digitale Themenpark der Welt. Alles, was du hier siehst, wird auf einem Computer simuliert.
tutorial_intro_5                       Leider stehen wir derzeit unter der Bedrohung einer schrecklichen Vireninfektion, die schon fast alles zerstört hat.
tutorial_intro_6                       Wir befinden uns hier bei den Pixelminen. In den Bergwerken in der Ferne werden rohe Polygone zu Tage gefördert, die dann in diesem Gebäude hier zu Primitiven verarbeitet werden.
tutorial_intro_7                       Diese ganze Örtlichkeit produziert die Rohmaterialien, die wir in Darwinia zur Herstellung unserer Güter brauchen.
tutorial_intro_8                       Leider ist derzeit aufgrund der Vireninfektion alles lahm gelegt. Du sollst mir helfen, die Sache wieder in Gang zu bringen.
tutorial_intro_9                       Wir müssen die Vireninfektion bekämpfen und dann die einheimische darwinsche Bevölkerung wieder aufbauen.
tutorial_intro_10                      Aber beginnen wir am Anfang.

tutorial_1_kbd                         Als erstes der Gebrauch der Kamera. Benutze die Tasten [KEYCAMERAFORWARDS],[KEYCAMERALEFT],[KEYCAMERABACKWARDS],[KEYCAMERARIGHT] für die Kamerabewegung.
tutorial_1_xin                         Als erstes der Gebrauch der Kamera. Bewege die Kamera mit dem Ministick links umher.
tutorial_2_kbd                         Um die Höheneinstellung zu verändern, scrollst du mit der mittleren Maustaste hoch oder runter. Die gleiche Funktion erfüllen die Tasten [KEYCAMERAUP] und [KEYCAMERADOWN].
tutorial_3                             Gut so. Als erstes sollst du diese bösen roten Virii zerstören.
tutorial_3b                            Ihren Leichen entnehmen wir dann die Seelen und verwandeln diese in frische neue Darwinianer.
tutorial_4                             Um die Virii zu vernichten, müssen wir eine bewaffnete Angriffseinheit, einen TRUPP, erstellen.
tutorial_4b_kbd                        Um in Darwinia Figuren oder Objekte zu erstellen, zeichnest du die Gesten im Task Manager. Festhalten von [KEYGESTURESTASKMANAGERDISPLAY] öffnet den Task Manager.
tutorial_4b_xin                        Um in Darwinia Figuren oder Objekte zu erstellen, zeichnest du die Gesten im Task Manager.
tutorial_5                             Öffne den Task Manager und zeichne diese Geste, um einen TRUPP zu erstellen. Du musst nicht sehr genau sein, zeichne nur schnell genug.
tutorial_5_kbd                         Halte [KEYGESTURESTASKMANAGERDISPLAY] gedrückt, während du diese Geste zeichnest, um einen TRUPP zu erstellen. Du brauchst nicht exakt zu zeichnen, aber schnell.
tutorial_5_error                       Halt, das ist die falsche Geste. Versuch's nochmals.
tutorial_7_kbd                         Ausgezeichnet. Um den TRUPP in die Welt zu platzieren, klickst du im Innern des markierten Anfangsbereichs.
tutorial_7_xin                         Ausgezeichnet. Um den TRUPP in die Welt zu platzieren, wählst du den markierten Anfangsbereich.
tutorial_8_kbd                         Trupps müssen direkt gesteuert werden. Klicke mit der linken Maustaste, um sie in der Landschaft umher zu führen.
tutorial_9_kbd                         Halte die rechte Maustaste gedrückt, um ihre Laser abzufeuern.
tutorial_10_kbd                        Sie können auch Granaten werfen. Halte die rechte Maustaste gedrückt, um den Laser zu feuern, und klicke mit der linken Maustaste, um eine Granate zu werfen.
tutorial_11                            Sieht aus, als hättest du den Bogen raus. Führe deinen Trupp zu den bösen roten Virii und bring sie um!
tutorial_12                            Fantastisch, du hast die Hälfte schon vernichtet.
tutorial_13                            Du hast es beinahe geschafft. Es sind nur noch ein paar wenige Virii am Leben.

tutorial_20                            Dieses Gebäude ist ein Inkubator. Hier werden die Seelen der toten Kreaturen in frische neue Darwinianer umgewandelt.
tutorial_20b                           Leider ist derzeit in Folge der roten Vireninfektion alles lahm gelegt. Wir brauchen die Einrichtung, um Darwinianer zu erzeugen.
tutorial_20c                           Um das Gebäude wieder in Stand zu setzen, brauchen wir einen INGENIEUR.
tutorial_21_kbd                        Um einen INGENIEUR zu erstellen, hältst du [KEYGESTURESTASKMANAGERDISPLAY], um den Task Manager zu öffnen und diese Geste zu zeichnen.
tutorial_21_xin                        Um einen INGENIEUR zu erstellen, öffnest du den Task Manager und zeichnest diese Geste.
tutorial_22                            Ingenieure können auf Anfangspunkte oder in die Nähe von Trupps gesetzt werden. Platziere deinen Ingenieur und bewege ihn neben einen Inkubator.
tutorial_23                            Als erstes wird der Ingenieur unter Verwendung des in der Nähe gelegenen Kontrollturms den Inkubator umprogrammieren und die Vireninfektion beseitigen.
tutorial_24                            Danach wird er die zurückgebliebenen Seelen der Virii einsammeln und sie zum Inkubator bringen.
tutorial_24b                           Alle Kreaturen in Darwinia besitzen eine Seele. Die Seelen gehörten, bevor sie vom Virus befallen wurden, den Darwinianern.
tutorial_24c                           Mithilfe der Ingenieure und der Inkubatoren können wir nach und nach die bösen Virenseelen sammeln und sie in Darwinianer zurückverwandeln.
tutorial_25                            Die ersten Darwinianer sind zu neuem Leben erweckt!  Das ist eine gute Nachricht.
tutorial_26                            Sie waren vor der Invasion der Viren die Herren des Planeten. Ihnen werden wir helfen, die Welt zurückzuerobern.

tutorial_28_kbd                        Halte [KEYGESTURESTASKMANAGERDISPLAY] gedrückt, während du diese Geste zeichnest, um einen weiteren TRUPP zu erstellen.
tutorial_28_xin                        Öffne den Task Manager und zeichne diese Geste, um einen weiteren TRUPP zu erstellen.
tutorial_29                            Du kannst jetzt dein Geschwader näher am Ort der Handlung ansiedeln, indem du es in die Nähe des eroberten Kontrollturms bringst.

tutorial_30                            Okay, nächste Aufgabe.
tutorial_31                            In dieser Richtung gibt es noch andere Unwesen, einschließlich eines bösartigen Tausendfüßlers.
tutorial_31b                           Ich will, dass du Sie mit deinen Trupps besiegst und dann ihre Seelen in Darwinianer verwandelst.
tutorial_32                            Nimm deinen Trupp und greif die Viren an, die ich Dir gerade gezeigt habe.
tutorial_33                            Ausgezeichnete Arbeit. Ich bin beeindruckt.
tutorial_33b                           Jetzt wollen wir mit einem Ingenieur diesen Inkubator umprogrammieren und die in der Nähe befindlichen Seelen einsammeln.
tutorial_34_kbd                        Bewege den Ingenieur in die Nähe des Inkubators, damit er mit dem Umprogrammieren anfangen kann. Klicke mit der linken Maustaste, um den Ingenieur zu bewegen.
tutorial_34_xin                        Bewege den Ingenieur in die Nähe des Inkubators, damit er mit dem Umprogrammieren anfangen kann.
tutorial_35                            Dieser Ingenieur wird jetzt die in der Nähe befindlichen Seelen einsammeln und sie in den Inkubator legen, um weitere Darwinianer zu erzeugen.
tutorial_35b                           Warte, ich zeige Dir, wie du die Darwinianer umherbewegst.
tutorial_35c                           Sie können nicht direkt gesteuert werden, aber wir können ihnen über einen Offizier Befehle erteilen.
tutorial_351                           Um einen Offizier zu erstellen, zeichnest du diese Geste.
tutorial_36_kbd                        Klicke auf einen Darwinianer, um ihn zu einem Offizier zu befördern.
tutorial_36_xin                        Wähle einen Darwinianer, um ihn zu einem Offizier zu befördern.
tutorial_37                            Die sinnvollste Funktion eines Offiziers ist, dass er Darwinianer herumkommandieren kann.
tutorial_37_kbd                        Zum Bewegen eines Offiziers klickst du mit der linken Maustaste. Ihre nützlichste Funktion besteht darin, den Darwinianern Befehle zu erteilen.
tutorial_37b_kbd                       Du kannst irgendwo auf den Boden rechtsklicken, um alle Darwinianer an diese Stelle zu rufen.
tutorial_38                            Das Ziel hier besteht darin, die Raffinerie wieder in Betrieb zu setzen, damit wir Primitive erzeugen können.
tutorial_38b                           Die Raffinerie ist für den Betrieb auf Darwinianer angewiesen.
tutorial_38c                           Da sich die Darwinianer jedoch derzeit nicht selbst verteidigen können, musst du erst den Platz mit deinen Trupps räumen.
tutorial_38d                           Danach befiehlst du den Darwinianern über die Offiziere, sich in der Raffinerie einzufinden und sie in Betrieb zu setzen.
tutorial_38e                           Vergiss nicht, mit den Ingenieuren die Seelen der toten Virii und Darwinianer einzusammeln.
tutorial_39_kbd                        Wenn du irgendwo nicht weiter weißt, drückst du [KEYSEPULVEDAHELP] - und ich komm Dir zu Hilfe. Viel Glück!

tutorial_40                            Du hast schon einen Trupp, aber er steht nicht unter deiner Kontrolle, weil er nicht die ausgewählte Einheit ist.
tutorial_40b_kbd                       Zum Auswählen deines Trupps hältst du [KEYICONSTASKMANAGERDISPLAY] fest und drückst so lange die TAB-Taste, bis der betreffende Trupp markiert ist. Oder du klickst direkt darauf.

tutorial_41_kbd                        Um einen INGENIEUR zu erstellen, hältst du [KEYGESTURESTASKMANAGERDISPLAY], um den Task Manager zu öffnen und diese Geste zu zeichnen.
tutorial_41_xin                        Um einen INGENIEUR zu erstellen, öffnest du den Task Manager und zeichnest diese Geste.
tutorial_42                            Platziere ihn jetzt in die Nähe eines Trupps oder Kontrollturms.

tutorial_43                            Du hast schon einen Ingenieur im Einsatz, aber er ist derzeit nicht ausgewählt.
tutorial_43b_kbd                       Zum Auswählen des Ingenieurs hältst du [KEYICONSTASKMANAGERDISPLAY] und drückst so lange TAB, bis er markiert ist. Oder du klickst direkt darauf.

tutorial_squaddeath                    Sieht aus, als sei dein TRUPP vernichtet worden. Keine Sorge, wir können einen anderen erstellen.
tutorial_engineerdeath                 Leider ist dein INGENIEUR umgekommen. Da müssen wir einen anderen erstellen.

tutorial_skipped_kbd                   Also gut, ich lass Dich machen. Denk dran, du kannst jederzeit auf [KEYSEPULVEDAHELP] drücken. Viel Glück!
tutorial_skipped_xin                   Also gut, ich lass Dich machen. Viel Glück!


# ================================================
# Pixel Mines
# ================================================

pixelmines_objective1                  Gewinnung von 20 Primitiven
pixelmines_objective2                  Aktivieren des Verbindungsportals im Hof

pixelmines_intro_1                     Diese ganze Anlage ist ein riesiges Bergbauwerk, das jetzt ebenfalls von diesem lästigen Virus befallen ist.
pixelmines_refinery_1                  Das Gebäude im Zentrum ist die Raffinerie. Hier werden aus den zu Tage geförderten Polygonen Primitive gewonnen, die als Baumaterial dienen.
pixelmines_refinery_1b                 Außerdem werden die Motoren angetrieben, die die Wagen auf den Geleisen in Gang halten.
pixelmines_refinery_2                  Diese Raffinerie braucht Darwinianer an den Steuerpulten, sonst läuft gar nichts. Deshalb musst du ein paar Darwinianer hierher bringen, um die Anlage in Gang zu setzen.
pixelmines_mines_1                     Es gibt vier unterirdische Minen in diesem Gebiet. In jeder werden rohe Polygone gewonnen.
pixelmines_mines_1b                    Seit Generationen betreiben die Darwinianer hier Untertagebergbau, und dies hat in der Landschaft Spuren hinterlassen.
pixelmines_mines_2                     Die Darwinianer fördern die Polygone aus den Tiefen der Schächte und beschicken die Minenwagen, die das Material in die Raffinerie fahren.
pixelmines_mines_3                     Wir brauchen wenigstens 20 Primitive, damit wir etwas Vernünftiges bauen können.

pixelmines_yardport_1                  Wenn die Primitiven gewonnen sind, werden sie zum Bauhof gebracht.
pixelmines_yardport_2                  Setzen Sie das Verbindungsportal in Betrieb, damit die gewonnenen Primitiven abtransportiert werden können.

pixelmines_progress_1                  Gut gemacht: Die Raffinerie ist in Betrieb und die Motoren laufen. Aber die Minenwagen sind noch leer. Wir müssen die Minen in Betrieb nehmen.
pixelmines_progress_2                  Es gibt vier unterirdische Minen in diesem Gebiet. In jeder werden rohe Polygone gewonnen.


# =================================================
# Dialog strings
# =================================================

dialog_newlocationfail1                Neue Örtlichkeit konnte nicht erstellt werden.
dialog_newlocationfail2                Du kannst keine neue Örtlichkeit erstellen.\nDu musst erst aus dem Hauptmenü ein MOD erstellen,\nbevor du weitere Örtlichkeiten hinzufügen kannst.

dialog_savelocationsfail1              Speichern fehlgeschlagen.
dialog_savelocationsfail2              Du kannst keine Ortsdaten speichern.\nDu musst erst aus dem Hauptmenü ein MOD erstellen,\nbevor du Örtlichkeiten bearbeiten und speichern kannst.

dialog_mainmenu                        Hauptmenü
dialog_leavedarwinia                   Darwinia verlassen
dialog_visitwebsite                    Webseite besuchen
dialog_close                           Schließen
dialog_apply                           Anwenden
dialog_cancel                          Abbrechen
dialog_create                          Erstellen
dialog_yes                             Ja
dialog_no                              Nein
dialog_ok                              OK

dialog_mods                            Mods
dialog_currentmod                      Aktuelles Mod
dialog_loadmod                         Mod laden
dialog_unloadmod                       Mod entladen
dialog_createnewmod                    Neues Mod erstellen

dialog_profile                         Profil
dialog_newprofile                      Neues Profil erstellen
dialog_currentprofilename              Aktueller Profilname
dialog_loadprofile                     Profil laden
dialog_name                            Name:

dialog_options                         Optionen
dialog_high                            Hoch
dialog_medium                          Mittel
dialog_low                             Niedrig
dialog_upgrade                         Ich muss aufrüsten
dialog_full                            Voll
dialog_partial                         Teil
dialog_enabled                         Aktiviert
dialog_disabled                        Deaktiviert

dialog_otheroptions                    Andere Optionen
dialog_helpsystem                      Hilfesystem
dialog_controlhelpsystem               Hilfe Control Pad
dialog_bootloaders                     Einleitungen
dialog_christmas                       Heiliger Abend
dialog_language                        Sprache
dialog_difficulty                      Schwierigkeit
dialog_standard_difficulty             Standard
dialog_hard_difficulty                 Schwer

dialog_inputoptions                    Steueroptionen
dialog_restoredefaults                 Standardvorgaben wiederherstellen
dialog_mousebuttons                    Maustasten

dialog_soundoptions                    Sound-Optionen
dialog_unavailable                     nicht verfügbar
dialog_soundlibrary                    Sound-Library
dialog_directsound                     DirectSound
dialog_softwaresound                   Software-Sound
dialog_mixfrequency                    Frequenz mischen
dialog_11khz                           11 kHz niedrige Qualität
dialog_22khz                           22 kHz mittlere Qualität
dialog_44khz                           44 kHz hohe Qualität
dialog_numchannels                     Kanäle
dialog_8channels                       8 Kanäle
dialog_16channels                      16 Kanäle
dialog_32channels                      32 Kanäle
dialog_64channels                      64 Kanäle
dialog_memoryusage                     Speichernutzung
dialog_swapstereo                      Stereo tauschen
dialog_hw3dsound                       Hardware 3d Sound
dialog_realtimeeffects                 Realtime-Effekte
dialog_cpuusage                        CPU-Nutzung
dialog_cpuusageunknown                 CPU-Nutzung unbekannt

dialog_graphicsoptions                 Grafikoptionen
dialog_landscapedetail                 Landschaft
dialog_waterdetail                     Gewässer
dialog_skydetail                       Himmel
dialog_buildingdetail                  Bauliche Details
dialog_entitydetail                    Einheitsdetails
dialog_pixeleffect                     Pixeleffekt

dialog_screenoptions                   Bildschirmoptionen
dialog_refreshrate                     Erneuerungsrate
dialog_windowed                        Fenstertechnik
dialog_windowedmode                    (Fenstermodus)
dialog_resolution                      Auflösung
dialog_colourdepth                     Farbtiefe
dialog_colourdepth_16                  16 Bit
dialog_colourdepth_24                  24 Bit
dialog_colourdepth_32                  32 Bit
dialog_zbufferdepth                    Z-Buffer-Tiefe

dialog_locationmenu                    Menü "Ort"
dialog_leavelocation                   Ort verlassen
dialog_buyonline                       Online kaufen

dialog_resetlocation                   Ort zurücksetzen
dialog_reset1                          Wollen Sie diesen
dialog_reset2                          Ort wirklich zurücksetzen?
dialog_reset3                          Ihr Fortschritt auf dieser Insel
dialog_reset4                          geht damit verloren, und  Sie
dialog_reset5                          müssen von vorn anfangen.

dialog_toolsmenu                       Menü Extras

dialog_multiplefiles                   (mehrere Dateien ausgewählt)

dialog_largemenus                      Große Menüs
dialog_auto                            Automatik
dialog_autocam                         Auto-Kamera

dialog_unplugged1                      Controller entfernt
dialog_unplugged2                      Controller entfernt. Zum Fortfahren bitte wieder anschließen.

dialog_skiptutorial_kbd                Drücke [KEYSKIPTUTORIAL] zum Überspringen des Tutorials.
dialog_skiptutorial_xin                Drücke Back zum Überspringen des Tutorials

dialog_skipprologue                    Prolog überspringen
dialog_playprologue                    Prolog abspielen

dialog_skip1                           Möchtest du den Prolog wirklich überspringen und mit dem Hauptspiel beginnen?
dialog_prologue1                       Möchtest du dein Spiel wirklich stoppen und den Prolog-Level spielen?

dialog_buydarwinia                     Darwinia kaufen
dialog_buynow                          Jetzt kaufen
dialog_buynow1                         Wir hoffen, Darwinia hat dir Spaß gemacht!
dialog_buynow2                         Um das Spiel weiter spielen zu können, musst du die Vollversion kaufen.
dialog_later                           Später


# ================================================
# Location Names
# ================================================

location_garden                        Garten
location_containment                   Sicherheitszone
location_mine                          Mine
location_generator                     Generator
location_yard                          Hof
location_escort                        Escort
location_pattern_buffer                Muster-Buffer
location_biosphere                     Biosphäre
location_receiver                      Empfänger
location_temple                        Tempel

location_unknown                       unbekannter Ort


# =================================================
# New Controls
# =================================================

newcontrols_prefsoption                Steuermodus
newcontrols_prefs_gestures             Gesten-Steuerung
newcontrols_prefs_icons                Symbol-Steuerung

newcontrols_createnewtask              NEUE AUFGABE ERSTELLEN

newcontrols_create_squad               Neuen Trupp erstellen
newcontrols_create_engineer            Neuen Ingenieur erstellen
newcontrols_create_officer             Neuen Offizier erstellen
newcontrols_create_armour              Neuen Panzerwagen erstellen

newcontrols_delete_squad               Diesen Trupp löschen
newcontrols_delete_engineer            Diesen Ingenieur löschen
newcontrols_delete_officer             Diesen Offizier löschen
newcontrols_delete_armour              Diesen Panzerwagen löschen

newcontrols_select_squad               Diesen Trupp auswählen
newcontrols_select_engineer            Diesen Ingenieur auswählen
newcontrols_select_officer             Diesen Offizier auswählen
newcontrols_select_armour              Diesen Panzerwagen auswählen

newcontrols_place_squad                Diesen Trupp platzieren
newcontrols_place_engineer             Diesen Ingenieur platzieren
newcontrols_place_officer              Diesen Offizier platzieren
newcontrols_place_armour               Diesen Panzerwagen platzieren

newcontrols_select_grenade             Granate auswählen
newcontrols_select_rocket              Rakete auswählen
newcontrols_select_airstrike           Luftangriff auswählen
newcontrols_select_controller          Controller auswählen

newcontrols_showresearch               Forschungsseite anzeigen
newcontrols_showtaskmanager            Task Manager-Seite anzeigen
newcontrols_showobjectives             Ziele-Seite anzeigen

newcontrols_research_darwinian         Darwinianer-Programm ausbauen (bessere Waffenausstattung)
newcontrols_research_officer           Offiziers-Programm ausbauen (zusätzliche Befehle)
newcontrols_research_squad             Trupp-Programm ausbauen (größere Trupps)
newcontrols_research_laser             Laser-Programm ausbauen (größere Reichweite)
newcontrols_research_grenade           Granaten-Programm ausbauen (größere Reichweite)
newcontrols_research_rocket            Raketen-Programm ausbauen (größere Reichweite)
newcontrols_research_airstrike         Luftangriffs-Programm ausbauen (zusätzliche Bombenflugzeuge)
newcontrols_research_armour            Panzerwagen-Programm ausbauen (größere Kapazität, bessere Kanonenreichweite)
newcontrols_research_taskmanager       Task Manager-Programm ausbauen (gleichzeitige Ausführung von mehr Programmen)
newcontrols_research_engineer          Ingenieur-Programm ausbauen (größere Aufnahmekapazität für Seelen)

newcontrols_hidetaskmanager_kbd        Task Manager-Programm ausbauen (gleichzeitige Ausführung von mehr Programmen)


# =================================================
# Demo 2 level (launchpad)
# =================================================

launchpad_objective1                   Aktivieren der primären Treibstoffpumpe
launchpad_objective2                   Aktivieren der sekundären Treibstoffpumpe
launchpad_objective3                   Aktivieren der tertiären Treibstoffpumpe
launchpad_objective0                   Start der Rakete

launchpad_primary_1                    Auf dieser Karte gibt es drei Treibstoffpumpen.
launchpad_primary_2                    Sie dienen der Gewinnung von Mineralien vom Meeresgrund, die dann zu flüssigem Raketentreibstoff verarbeitet werden.
launchpad_primary_4                    Die Treibstoffpumpen werden von den in der Nähe befindlichen Solarpaneelen angetrieben.
launchpad_primary_5                    Diese Solarpaneele brauchen Darwinianer für ihren Betrieb.
launchpad_primary_6                    Beseitige die Vireninfektion um die Solarpaneele herum, und schicke mithilfe der Offiziere einige Darwinianer dorthin.
launchpad_primary_7                    Wenn sie in Betrieb sind, treiben die Solarpaneele die Treibstoffpumpe an, die den flüssigen Treibstoff in die Rakete füllt.

launchpad_primary_rocket_1             Unser primäres Ziel ist es, den Darwinianern beim Starten ihrer Rakete zu helfen.
launchpad_primary_rocket_2             Zu diesem Zweck müssen wir sie erst mit Treibstoff befüllen.
launchpad_primary_rocket_3             Der Treibstoff wird von den 3 markierten Pumpen generiert, die den Treibstoff direkt in die Tanks der Rakete füllen.
launchpad_primary_rocket_4             Setze die Treibstoffpumpen in Gang, indem du die Solarpaneele auf der Karte mit Darwinianern besetzt.
launchpad_primary_rocket_5             Wenn die Rakete komplett aufgetankt ist, können wir einen weiteren Start ins Auge fassen.

launchpad_intro_1                      Sei gegrüßt, Besucher, willkommen auf Darwinia!
launchpad_intro_2                      Mein Name ist Dr Sepulveda, Schöpfer dieser digitalen Welt.
launchpad_intro_3                      Du kommst zu einer guten Zeit. Unsere darwinsche Bevölkerung ist sehr fleißig gewesen.
launchpad_intro_4                      Seit der Große Krieg zu Ende ging, haben sie sich mit dem Bau einer Rakete beschäftigt.
launchpad_intro_5                      Die Darwinianer sind eine komplett digitale Lebensform, die sich im Innern eines sehr großen Computers bewegt.
launchpad_intro_6                      Jede Generation ist ehrgeiziger als die vorangehende. Sie alle wollen als erste in ihre Rakete steigen.
launchpad_intro_7                      Ihre Neugier ist nicht zu zähmen.
launchpad_intro_8                      Ich weiß nicht recht, was die Darwinianer eigentlich vorhaben.
launchpad_intro_9                      Doch dies ist mit Sicherheit ihr ehrgeizigstes Projekt bisher.
launchpad_intro_9b                     Sie haben sich über Tausende von Generationen entwickelt und haben ihre eigenen Kultur und Religion.
launchpad_intro_9c                     Diese Rakete stellt den Höhepunkt ihrer Träume und Pläne dar, und sie haben sehr lange gebraucht, bis sie so weit waren.
launchpad_intro_10                     Ach du Schreck, wir stehen unter Angriff!
